Gold,Level,Minions,Kills,Assists,Deaths,Towers,Dragons,Heralds,Barons,Gold_diff,Win
38820,11.2,576,16,20,12,4,2,0,0,6943,1
31877,10.4,562,12,7,16,0,0,2,0,-6943,0
38681,11.2,627,14,17,18,3,2,1,0,-12,0
38693,11.0,593,18,22,14,3,1,1,0,12,1
41757,11.4,497,26,42,19,4,2,1,0,1575,1
40182,11.0,543,19,31,26,3,0,1,0,-1575,0
37877,11.4,582,20,28,15,2,2,0,0,-378,0
38255,11.2,641,15,13,20,2,0,2,0,378,1
41882,11.2,572,24,29,22,3,2,1,0,3973,1
37909,10.6,499,22,31,24,2,0,0,0,-3973,0
44786,11.8,561,30,28,18,4,2,2,0,8760,1
36026,10.8,462,18,20,30,0,0,0,0,-8760,0
43704,11.6,554,28,21,27,5,2,1,0,544,1
43160,11.6,503,27,21,28,4,0,1,0,-544,0
42314,11.6,612,23,20,19,4,1,1,0,3853,1
38461,11.0,511,19,23,23,3,2,1,0,-3853,0
37255,10.8,507,17,20,27,1,0,1,0,-2154,0
39409,11.6,510,27,25,17,3,2,1,0,2154,1
40397,11.0,562,22,24,19,3,0,0,0,43,0
40354,11.2,587,19,23,22,3,2,2,0,-43,1
42707,11.6,589,27,33,13,6,1,1,0,11321,1
31386,10.2,479,13,13,27,0,2,1,0,-11321,0
44468,12.0,652,29,37,11,4,2,1,0,13155,1
31313,10.4,469,11,15,29,0,1,1,0,-13155,0
38293,11.2,519,20,24,29,1,1,1,0,-6867,0
45160,11.8,595,29,42,20,4,2,1,0,6867,1
38598,11.2,526,24,34,21,0,2,1,0,-1984,0
40582,11.6,591,21,28,24,3,0,1,0,1984,1
37820,11.2,536,17,17,28,2,1,0,0,-3081,1
40901,11.2,598,28,27,17,3,2,2,0,3081,0
47288,12.0,660,29,21,15,5,2,2,0,10560,1
36728,10.8,497,15,22,29,2,0,0,0,-10560,0
39786,11.8,654,15,19,18,3,0,1,0,-375,0
40161,11.8,693,18,21,15,3,3,1,0,375,1
37818,11.4,640,14,12,13,3,2,0,0,827,1
36991,11.4,634,13,12,14,3,1,2,0,-827,0
38791,11.4,626,16,12,25,2,2,1,0,-5864,0
44655,11.8,635,25,22,16,6,1,1,0,5864,1
36157,11.6,615,15,7,15,2,0,2,0,-785,1
36942,11.6,617,15,21,15,2,2,0,0,785,0
46117,12.2,639,31,34,17,6,1,2,0,9226,1
36891,10.8,473,17,24,31,2,1,0,0,-9226,0
37544,11.2,583,15,22,28,1,0,0,0,-8157,0
45701,12.0,631,28,34,15,5,2,2,0,8157,1
38248,10.4,523,21,26,33,1,1,0,0,-7363,1
45611,11.6,582,33,45,21,5,1,2,0,7363,0
40270,11.0,490,25,43,30,1,1,0,0,-5319,0
45589,11.6,614,30,33,25,4,2,2,0,5319,1
34912,11.0,571,12,12,24,1,1,0,0,-8937,0
43849,11.8,618,24,26,12,7,2,2,0,8937,1
41540,11.4,567,26,27,13,4,1,1,0,6167,1
35373,10.6,553,13,17,26,1,2,1,0,-6167,0
39800,11.4,620,14,19,20,4,0,2,0,-776,0
40576,11.2,619,20,27,14,4,2,0,0,776,1
37716,10.8,576,17,15,21,2,0,1,0,-2095,0
39811,11.6,546,21,27,17,5,3,1,0,2095,1
38661,11.4,574,20,12,19,4,1,2,0,928,0
37733,11.4,608,19,20,20,1,2,0,0,-928,1
42603,11.8,605,22,32,16,4,2,2,0,5150,1
37453,11.2,577,16,16,22,2,1,0,0,-5150,0
36656,11.4,608,17,11,13,3,1,0,0,-1916,0
38572,11.6,659,13,15,17,2,1,2,0,1916,1
40359,11.2,506,22,44,29,2,0,0,0,-7644,0
48003,11.8,643,29,23,22,8,3,2,0,7644,1
40359,11.2,506,22,44,29,2,0,0,0,-7644,0
48003,11.8,643,29,23,22,8,3,2,0,7644,1
40646,10.6,519,20,17,46,2,0,0,0,-11876,0
52522,12.8,636,46,45,20,6,2,2,0,11876,1
34410,10.6,536,13,14,23,2,0,0,0,-8373,0
42783,11.6,599,23,26,13,4,2,2,0,8373,1
39884,11.6,590,20,26,13,4,1,1,0,-642,1
40526,11.2,676,13,11,20,4,2,1,0,642,0
41614,11.2,576,24,26,27,3,0,0,0,-1499,1
43113,11.4,578,27,43,24,3,3,2,0,1499,0
41616,11.2,618,21,25,28,3,2,1,0,-1877,0
43493,11.8,596,28,22,21,3,0,1,0,1877,1
43946,12.6,667,29,24,11,4,2,2,0,9398,1
34548,11.2,616,11,11,29,0,0,0,0,-9398,0
34124,11.2,614,11,12,20,1,1,1,0,-6066,0
40190,11.6,615,20,28,11,3,1,1,0,6066,1
33275,11.4,711,4,4,10,1,0,0,0,-2758,0
36033,12.0,698,10,10,4,2,3,2,0,2758,1
35617,11.0,541,14,20,23,1,1,0,0,-7501,0
43118,11.6,638,23,31,14,4,2,2,0,7501,1
40841,11.6,579,21,24,18,4,0,2,0,546,1
40295,11.4,633,18,22,21,3,2,0,0,-546,0
37942,11.2,646,15,21,12,3,2,2,0,3200,1
34742,11.2,613,12,12,15,1,0,0,0,-3200,0
35064,11.2,578,12,14,13,1,2,1,0,-266,0
35330,10.8,542,13,17,12,3,0,1,0,266,1
36816,11.4,644,15,20,20,1,1,1,0,-2866,0
39682,12.0,635,20,19,15,2,2,1,0,2866,1
40976,11.4,533,24,26,28,4,1,1,0,206,0
40770,11.2,495,28,36,24,4,1,1,0,-206,1
29190,10.0,558,4,3,12,0,0,1,0,-9013,0
38203,10.6,614,12,16,4,6,2,1,0,9013,1
43679,11.8,635,23,22,15,6,1,2,0,9169,1
34510,10.8,491,15,20,23,1,1,0,0,-9169,0
36325,10.4,618,12,9,26,2,1,0,0,-7467,0
43792,11.2,562,26,40,12,5,1,2,0,7467,1
39139,10.6,587,15,28,22,2,0,1,0,-2190,0
41329,11.8,666,22,23,15,3,3,1,0,2190,1
42463,11.8,663,22,24,16,3,2,1,0,1569,1
40894,11.2,624,16,13,22,3,1,1,0,-1569,0
38785,11.6,627,18,20,23,3,1,1,0,-3986,0
42771,11.8,622,23,35,18,2,1,1,0,3986,1
38035,10.8,511,17,22,36,2,0,1,0,-11161,0
49196,11.8,635,36,44,17,5,2,1,0,11161,1
33902,11.2,624,12,14,14,1,1,0,0,-6027,0
39929,11.4,630,14,18,12,6,2,2,0,6027,1
35316,11.2,605,13,25,10,1,3,0,0,1447,1
33869,10.6,526,10,9,13,3,0,2,0,-1447,0
34332,10.4,602,11,9,22,1,1,0,0,-6502,0
40834,12.0,643,22,22,11,4,1,2,0,6502,1
39923,11.6,618,16,19,20,2,2,2,0,-1199,0
41122,11.4,659,20,24,16,4,1,0,0,1199,1
38517,11.2,632,15,16,18,3,0,2,0,-1758,0
40275,11.6,626,18,22,15,3,2,0,0,1758,1
32469,10.6,567,9,14,19,0,0,0,0,-10985,0
43454,11.8,718,19,24,9,5,2,2,0,10985,1
33977,11.4,610,12,18,16,0,0,0,0,-4876,0
38853,11.6,635,16,13,12,5,3,2,0,4876,1
40512,11.0,563,21,26,29,2,1,1,0,-1950,1
42462,11.6,636,29,25,21,2,1,1,0,1950,0
39535,10.6,486,24,29,26,1,1,0,0,-4282,1
43817,11.2,543,26,31,24,3,1,1,0,4282,0
41386,11.4,676,19,13,22,4,1,2,0,2751,0
38635,11.4,586,22,29,19,1,2,0,0,-2751,1
36394,11.0,596,11,18,9,2,0,1,0,1363,0
35031,11.2,694,9,10,11,1,2,1,0,-1363,1
36954,11.0,574,14,22,16,1,0,1,0,-492,0
37446,11.2,623,16,17,14,3,2,1,0,492,1
41121,11.6,569,23,20,28,1,0,1,0,-4510,0
45631,12.4,658,28,36,23,4,2,1,0,4510,1
39631,12.0,666,16,19,20,2,0,2,0,-125,1
39756,11.8,604,20,24,16,2,3,0,0,125,0
44084,11.8,607,23,20,23,4,2,1,0,2847,1
