Gold,Level,Minions,Kills,Assists,Deaths,Towers,Dragons,Heralds,Barons,Gold_diff,Win
58575,14.6,854,25,37,32,8,2,1,1,-2364,0
60939,15.2,846,32,46,25,7,2,1,1,2364,1
66986,15.0,768,45,74,35,10,4,1,1,8451,1
58535,14.4,757,35,52,45,2,0,0,0,-8451,0
66530,15.8,893,41,42,33,6,2,1,1,7957,1
58573,14.6,716,33,47,41,4,2,1,0,-7957,0
60944,14.6,789,37,67,35,3,2,1,0,-2643,0
63587,15.6,859,35,61,37,4,2,1,2,2643,1
60477,15.2,770,34,49,38,7,3,0,0,2017,1
58460,14.4,851,38,36,34,4,2,2,0,-2017,0
59553,15.4,929,23,32,33,5,0,1,0,-5792,0
65345,16.2,983,33,56,23,9,4,1,2,5792,1
60332,15.2,894,26,22,44,3,2,1,1,-8188,0
68520,16.4,907,44,46,26,11,3,1,1,8188,1
62810,16.2,879,39,32,30,9,1,2,1,3865,1
58945,15.4,862,30,46,39,3,3,0,0,-3865,0
69462,15.4,766,44,73,46,7,3,0,1,4232,1
65230,14.4,727,46,59,44,9,1,2,1,-4232,0
66995,15.8,812,46,62,28,9,1,1,2,9133,1
57862,14.8,798,28,36,46,3,3,1,0,-9133,0
58143,14.4,861,25,41,31,5,0,2,0,-4108,0
62251,15.2,880,31,55,25,9,4,0,1,4108,1
61756,15.4,850,33,26,37,7,2,2,1,1084,0
60672,15.4,854,37,46,33,8,3,0,0,-1084,1
59948,15.0,786,34,42,25,7,2,0,1,227,0
59721,14.8,917,25,36,34,7,2,2,0,-227,1
56675,14.8,882,22,33,37,2,2,1,0,-8045,0
64720,15.6,850,37,51,22,10,2,1,1,8045,1
56284,14.6,858,27,32,22,3,3,1,0,925,0
55359,14.2,781,22,30,27,4,1,1,1,-925,1
56005,15.0,953,21,28,28,2,2,1,1,-3259,0
59264,15.0,939,28,32,21,4,3,1,0,3259,1
60247,14.2,774,33,47,40,9,1,1,0,-3727,0
63974,15.6,749,40,58,33,8,2,1,2,3727,1
57593,14.8,827,34,42,42,3,1,1,0,-7929,0
65522,16.0,818,42,65,34,5,3,1,1,7929,1
62034,15.0,843,30,43,34,8,2,2,0,-984,0
63018,15.2,868,34,60,30,4,2,0,2,984,1
60249,15.0,935,25,33,23,5,1,2,1,2972,0
57277,14.6,949,23,29,25,4,3,0,0,-2972,1
63646,15.6,894,32,49,36,4,2,1,1,-768,1
64414,14.6,935,36,33,32,8,2,1,1,768,0
58984,14.6,934,27,30,32,6,1,2,0,-1636,0
60620,15.2,839,32,45,27,7,3,0,1,1636,1
59438,14.8,837,26,43,25,4,2,1,0,-582,0
60020,15.0,918,25,45,26,6,2,1,1,582,1
65342,16.0,998,33,60,25,8,2,2,0,4439,1
60903,15.4,879,25,33,33,6,3,0,2,-4439,0
62366,14.8,843,32,51,33,7,3,2,1,-2096,1
64462,15.0,941,33,37,32,6,1,0,0,2096,0
58195,14.6,916,21,24,30,8,1,2,0,-5845,0
64040,16.2,1015,30,41,21,7,3,0,1,5845,1
64451,15.2,963,37,37,31,8,3,1,0,1759,0
62692,15.6,922,31,32,37,3,2,1,1,-1759,1
55628,14.6,803,21,28,34,1,2,0,1,-8328,0
63956,15.4,871,34,41,21,8,3,2,1,8328,1
63737,15.4,921,38,54,33,6,2,1,0,5234,1
58503,15.2,736,33,46,38,3,2,1,1,-5234,0
60644,14.4,688,41,81,34,5,2,1,0,203,1
60441,14.0,703,34,69,41,6,2,1,1,-203,0
53117,14.8,928,24,19,24,3,1,1,0,-5292,1
58409,15.2,899,24,47,24,5,4,1,1,5292,0
65490,15.6,929,37,63,23,9,3,1,1,5817,1
59673,15.0,857,23,42,37,4,1,0,1,-5817,0
58976,15.0,808,25,43,42,3,0,1,1,-5227,0
64203,16.0,835,42,64,25,12,4,1,1,5227,1
59647,14.2,802,32,51,30,9,2,0,0,-2970,1
62617,15.2,892,30,35,32,6,2,2,1,2970,0
59255,14.6,746,27,58,33,8,0,0,1,-3053,0
62308,15.0,827,33,33,27,8,4,1,1,3053,1
60653,15.0,817,31,43,30,5,2,1,1,353,1
60300,15.0,862,30,41,31,8,2,1,0,-353,0
61406,15.0,849,29,44,32,6,3,0,1,909,1
60497,14.8,829,32,48,29,7,1,2,1,-909,0
63000,15.4,992,29,39,32,5,1,2,0,-1116,1
64116,15.8,920,32,38,29,5,3,0,1,1116,0
60219,15.2,744,34,45,39,2,1,0,2,-4037,0
64256,15.6,897,39,60,34,5,3,2,0,4037,1
61956,14.8,911,33,67,22,7,4,0,0,6643,1
55313,14.2,772,22,36,33,3,0,2,0,-6643,0
54820,15.0,858,15,26,20,4,1,1,1,-1076,0
55896,14.8,880,20,25,15,7,3,1,0,1076,1
58410,14.2,806,32,33,20,8,2,2,0,2289,1
56121,14.8,783,20,31,32,3,1,0,1,-2289,0
61061,15.4,797,37,39,35,3,2,2,0,-2841,1
63902,15.4,883,35,36,37,6,2,0,1,2841,0
59266,14.6,812,26,33,40,8,1,1,1,-3227,0
62493,15.6,847,40,44,26,5,3,1,0,3227,1
51821,14.4,841,23,26,22,0,0,0,0,-7171,0
58992,15.2,909,22,21,23,12,3,1,2,7171,1
57763,14.2,858,28,35,26,6,2,1,0,-830,0
58593,14.8,840,26,39,28,3,3,1,1,830,1
65130,15.6,754,40,54,29,11,2,1,1,7124,1
58006,14.2,762,29,39,40,5,2,0,0,-7124,0
59170,14.0,822,26,29,41,5,1,0,0,-7261,0
66431,15.2,837,41,38,26,8,3,1,1,7261,1
62223,15.0,866,31,52,25,14,2,1,0,3625,1
58598,15.4,870,25,52,31,2,2,1,1,-3625,0
54934,14.0,720,27,35,35,3,0,0,0,-13399,0
68333,15.8,868,35,61,27,11,4,2,2,13399,1
52544,14.2,908,14,13,16,5,2,1,0,-3245,1
55789,14.2,839,16,26,14,4,3,1,1,3245,0
57584,14.8,740,36,41,35,4,2,1,0,-5268,0
62852,15.2,827,35,62,36,5,2,1,1,5268,1
62434,14.8,790,33,36,41,6,1,2,1,-1938,0
64372,15.4,798,41,58,33,5,3,0,1,1938,1
58292,14.6,848,27,31,32,8,2,0,0,-3431,0
61723,15.0,883,32,38,27,5,2,2,1,3431,1
58259,14.8,885,21,25,21,4,1,1,1,5194,1
53065,14.4,919,21,26,21,3,1,0,0,-5194,0
61611,15.0,862,34,38,36,7,2,1,1,-4615,0
66226,16.0,867,36,42,34,8,2,1,1,4615,1
60204,14.8,835,27,49,17,10,3,1,1,5826,0
54378,14.4,863,17,31,27,2,1,1,1,-5826,1
62770,15.0,713,37,34,36,10,3,1,1,3971,1
58799,15.0,807,36,49,37,2,1,1,0,-3971,0
62624,15.6,917,27,36,30,4,2,1,2,1274,0
61350,15.2,946,30,40,27,4,3,1,0,-1274,1
68124,15.8,769,46,82,30,9,4,2,2,10960,1
57164,14.6,781,30,36,46,2,0,0,0,-10960,0
63076,15.4,848,36,62,32,6,2,0,1,-1369,0
64445,15.2,948,32,44,36,6,2,2,0,1369,1
57925,14.8,1005,21,29,14,4,3,2,0,557,1
57368,14.8,996,14,15,21,9,2,0,1,-557,0
58255,14.0,811,24,40,42,3,0,0,0,-8110,0
66365,15.4,908,42,48,24,12,4,2,1,8110,1
