Gold,Level,Minions,Kills,Assists,Deaths,Towers,Dragons,Heralds,Barons,Gold_diff,Win
25178,8.8,369,15,16,10,0,1,0,0,183,0
24995,8.6,407,10,13,15,0,0,1,0,-183,1
24149,8.4,365,10,11,17,0,1,0,0,-2859,1
27008,8.6,410,17,18,10,0,1,1,0,2859,0
32341,9.4,437,20,16,9,2,1,1,0,8359,1
23982,8.4,347,9,9,20,0,0,0,0,-8359,0
26439,9.4,447,9,10,9,1,0,0,0,1410,0
25029,8.8,456,9,8,9,0,2,1,0,-1410,1
25031,9.0,413,9,8,8,0,1,0,0,1257,1
23774,8.8,420,8,6,9,0,1,1,0,-1257,0
24943,9.0,437,8,6,14,1,2,0,0,-4144,0
29087,8.6,399,14,14,8,3,0,1,0,4144,1
31245,9.4,422,19,13,6,3,0,1,0,9048,1
22197,8.2,367,6,4,19,0,1,0,0,-9048,0
23410,9.2,422,8,3,7,0,0,1,0,-562,1
23972,8.6,423,7,9,8,0,1,0,0,562,0
29590,9.4,442,18,17,8,1,0,1,0,7753,1
21837,8.0,326,8,8,18,0,1,0,0,-7753,0
21798,8.2,397,5,7,18,0,0,0,0,-8922,0
30720,9.4,434,18,20,5,2,1,1,0,8922,1
31276,9.4,438,21,21,7,2,1,1,0,9538,1
21738,8.8,353,7,4,21,0,0,0,0,-9538,0
26365,8.2,350,16,22,20,0,1,0,0,-3604,1
29969,8.8,387,20,26,16,1,0,1,0,3604,0
25399,8.4,357,14,19,19,0,0,0,0,-6640,0
32039,9.0,457,19,15,14,3,2,1,0,6640,1
24173,9.0,419,8,6,14,0,1,0,0,-5096,0
29269,8.8,414,14,19,8,2,1,1,0,5096,1
26318,8.4,375,12,13,9,1,0,1,0,1871,1
24447,8.6,393,9,10,12,1,2,0,0,-1871,0
31000,9.2,419,14,15,9,4,1,0,0,9440,1
21560,7.8,329,9,7,14,0,1,1,0,-9440,0
25153,8.8,417,7,8,11,0,0,1,0,-372,0
25525,8.8,443,11,14,7,0,1,0,0,372,1
25367,8.6,390,13,12,11,0,0,1,0,-955,0
26322,9.4,408,11,7,13,1,1,0,0,955,1
27398,9.0,407,14,8,13,2,0,1,0,2273,0
25125,8.8,416,13,14,14,0,2,0,0,-2273,1
26680,8.8,424,11,11,12,0,1,1,0,346,1
26334,8.6,393,12,12,11,1,1,0,0,-346,0
22407,8.6,385,9,6,4,0,1,0,0,-1216,0
23623,8.6,448,4,2,9,1,0,1,0,1216,1
23712,8.2,334,12,16,21,0,0,0,0,-10434,0
34146,9.4,461,21,17,12,3,2,1,0,10434,1
27647,8.2,355,15,12,30,0,0,0,0,-7476,0
35123,9.4,415,30,36,15,1,1,1,0,7476,1
22950,8.4,377,9,11,14,0,0,0,0,-4328,0
27278,8.8,409,14,16,9,1,1,1,0,4328,1
23556,8.0,320,9,5,27,0,0,0,0,-8652,0
32208,9.2,353,27,21,9,2,1,1,0,8652,1
26077,9.2,399,13,17,8,0,0,0,0,-126,1
26203,9.0,460,8,6,13,0,1,1,0,126,0
31420,9.2,464,21,26,8,0,1,0,0,7525,1
23895,8.0,351,8,13,21,1,0,1,0,-7525,0
26139,8.6,400,13,13,17,0,0,0,0,-2049,1
28188,8.2,385,17,25,13,0,2,1,0,2049,0
27194,8.6,452,13,10,14,1,1,0,0,-443,0
27637,9.0,414,14,7,13,1,0,1,0,443,1
29139,9.4,441,18,14,6,1,1,1,0,5914,1
23225,8.8,428,6,5,18,0,0,0,0,-5914,0
25544,8.8,365,13,8,14,0,1,0,0,-989,1
26533,8.8,381,14,15,13,1,0,1,0,989,0
25224,9.0,461,7,5,10,1,1,1,0,-1286,0
26510,9.2,444,10,14,7,0,0,0,0,1286,1
22204,8.8,460,2,2,5,0,0,0,0,-1178,0
23382,9.2,461,5,5,2,0,2,1,0,1178,1
23517,8.2,374,8,13,13,0,1,0,0,-5311,0
28828,8.8,430,13,16,8,2,1,1,0,5311,1
25506,8.8,374,12,11,11,0,0,1,0,-1434,1
