Gold,Level,Minions,Kills,Assists,Deaths,Towers,Dragons,Heralds,Barons,Gold_diff,Win
48840,13.2,700,22,33,18,6,3,0,0,4567,1
44273,12.8,693,18,25,22,2,0,2,1,-4567,0
51812,13.4,752,23,35,24,8,2,1,1,3288,0
48524,13.0,724,24,28,23,3,1,1,0,-3288,1
55108,13.6,625,35,51,25,7,3,1,1,6685,1
48423,12.4,627,25,44,35,3,0,1,0,-6685,0
44611,12.8,667,22,33,28,2,2,0,0,-9341,0
53952,14.0,779,28,47,22,6,1,2,1,9341,1
54530,13.6,692,32,46,26,7,3,1,1,8262,1
46268,12.0,623,26,37,32,2,0,0,0,-8262,0
56715,13.8,673,36,41,22,11,3,2,1,11653,1
45062,12.8,583,22,28,36,0,0,0,0,-11653,0
54669,14.0,753,32,33,24,4,2,1,1,6360,1
48309,12.8,608,24,33,32,4,2,1,0,-6360,0
45526,12.6,618,21,27,38,1,0,1,0,-6631,0
52157,13.6,619,38,59,21,7,3,1,0,6631,1
49740,12.8,686,27,31,27,3,0,0,0,-3413,0
53153,13.8,745,27,34,27,4,3,2,1,3413,1
57629,13.6,759,41,60,14,12,2,1,0,16997,1
40632,12.2,597,14,18,41,1,1,1,0,-16997,0
48306,12.8,654,29,45,29,2,2,1,0,-4684,0
52990,13.8,732,29,49,29,4,1,1,1,4684,1
49780,13.6,658,27,34,35,3,2,0,0,-830,1
50610,12.8,725,35,33,27,4,2,2,0,830,0
48761,13.4,816,16,19,25,5,0,1,0,-5407,0
54168,14.6,885,25,39,16,7,4,1,1,5407,1
50576,13.8,787,20,20,17,5,3,0,1,4545,1
46031,13.2,768,17,20,20,4,1,2,0,-4545,0
50290,13.4,725,22,19,38,3,2,1,1,-6814,0
57104,14.4,768,38,43,22,7,2,1,0,6814,1
49952,14.2,733,28,22,23,4,0,2,1,3728,1
46224,12.8,708,23,34,28,2,3,0,0,-3728,0
47438,13.0,699,21,33,41,1,0,0,0,-11054,0
58492,14.6,783,41,41,21,10,3,2,1,11054,1
52618,12.8,638,32,46,40,2,2,0,0,-3979,1
56597,13.0,674,40,50,32,9,1,2,1,3979,0
48920,13.2,691,18,25,31,2,1,0,1,-5087,0
54007,13.4,749,31,33,18,8,3,2,0,5087,1
55004,14.2,671,39,55,21,5,1,1,1,8723,1
46281,12.4,651,21,27,39,3,2,1,0,-8723,0
48900,13.2,740,20,34,25,5,0,2,0,-1636,0
50536,13.6,752,25,39,20,4,3,0,1,1636,1
49469,13.4,714,25,17,28,5,1,2,1,-561,0
50030,13.6,737,28,35,25,6,3,0,0,561,1
49308,13.8,712,26,25,20,5,2,0,1,-593,0
49901,13.2,786,20,31,26,4,1,2,0,593,1
45127,12.6,670,18,28,32,3,1,0,0,-9956,0
55083,13.6,696,32,31,18,9,2,2,1,9956,1
51248,14.0,690,32,48,17,4,1,1,0,2482,1
48766,12.6,771,17,17,32,4,2,1,0,-2482,0
51771,12.6,779,24,29,37,6,2,1,0,-3505,0
55276,14.2,733,37,42,24,4,1,1,1,3505,1
44040,12.6,741,15,19,30,1,2,1,0,-11000,0
55040,14.0,749,30,38,15,7,1,1,1,11000,1
45163,12.6,650,18,26,33,2,1,0,0,-13180,0
58343,14.2,813,33,45,18,10,3,2,1,13180,1
50833,13.8,669,27,39,20,4,1,2,1,3680,1
47153,12.6,722,20,28,27,3,2,0,0,-3680,0
46435,13.0,730,21,27,18,2,3,1,0,1978,0
44457,12.2,670,18,22,21,4,0,1,0,-1978,1
45150,12.8,790,18,25,24,2,2,1,0,-4600,0
49750,13.6,787,24,28,18,4,2,1,0,4600,1
50950,12.8,670,29,36,34,6,1,1,0,-947,0
51897,13.6,623,34,50,29,4,2,1,1,947,1
40718,12.2,723,8,16,13,1,0,1,0,-7342,0
48060,12.6,725,13,19,8,13,3,1,1,7342,1
54071,13.2,732,31,43,24,9,2,2,0,8994,1
45077,12.6,582,24,39,31,1,1,0,0,-8994,0
50480,13.0,730,18,33,26,3,0,1,1,479,0
50001,13.0,813,26,32,18,3,4,1,0,-479,1
48781,13.4,758,25,29,29,3,1,1,0,-5048,0
53829,13.8,743,29,45,25,4,2,1,1,5048,1
50026,13.0,724,23,31,28,3,2,2,0,-2031,0
52057,13.4,747,28,46,23,4,1,0,1,2031,1
52007,13.6,808,22,28,21,5,0,2,1,2650,0
49357,13.2,802,21,26,22,4,3,0,0,-2650,1
42707,12.6,709,13,26,21,0,0,0,0,-10248,0
52955,13.6,849,21,26,13,8,3,2,1,10248,1
50721,13.2,721,25,33,34,3,1,1,0,-3676,1
54397,13.6,793,34,32,25,4,2,1,1,3676,0
57137,14.0,641,38,56,28,8,2,0,1,7208,1
49929,12.4,638,28,33,38,3,1,1,0,-7208,0
50925,13.2,796,25,26,28,6,1,2,0,-1164,0
52089,14.0,741,28,40,25,5,2,0,1,1164,1
47659,13.0,680,20,37,22,2,1,1,0,-2178,0
49837,13.8,765,22,37,20,4,2,1,1,2178,1
48320,13.0,703,22,41,23,4,1,1,0,-497,0
48817,13.4,743,23,34,22,3,2,1,1,497,1
51184,13.8,842,23,38,23,2,1,2,0,-184,1
51368,14.0,765,23,28,23,5,3,0,1,184,0
55155,13.4,743,30,32,32,4,2,1,0,1817,1
53338,13.6,674,32,44,30,3,1,1,1,-1817,0
50697,13.0,697,28,33,27,4,1,0,0,400,1
50297,13.0,715,27,31,28,4,2,2,0,-400,0
46735,12.8,778,20,35,13,3,2,0,0,-486,1
47221,13.2,793,13,8,20,5,1,2,1,486,0
44800,12.4,780,12,14,21,3,1,2,0,-4761,0
49561,13.4,687,21,47,12,7,2,0,1,4761,1
46780,13.0,726,21,39,18,2,1,1,0,-3586,0
50366,13.2,783,18,27,21,2,3,1,1,3586,1
54024,14.2,833,25,29,8,8,3,0,1,13603,1
40421,12.4,661,8,10,25,2,0,2,0,-13603,0
52007,13.0,702,29,45,27,4,2,2,0,871,1
51136,13.2,771,27,31,29,3,1,0,0,-871,0
53350,13.4,653,29,50,26,4,3,1,1,3526,1
49824,12.8,720,26,36,29,4,1,1,0,-3526,0
47782,13.2,809,17,19,21,4,1,2,0,-1580,0
49362,13.8,847,21,24,17,4,2,0,0,1580,1
53361,13.6,813,30,27,21,7,2,1,0,3330,0
50031,13.8,746,21,21,30,3,2,1,1,-3330,1
48184,12.6,661,21,26,36,2,0,0,0,-6965,0
55149,13.2,615,36,61,21,9,4,2,1,6965,1
57333,14.4,721,37,46,23,9,2,2,1,8256,1
49077,13.2,782,23,22,37,3,2,0,0,-8256,0
53416,13.4,714,33,33,33,4,2,2,0,-4176,0
57592,14.4,786,33,41,33,7,1,0,1,4176,1
48272,13.0,852,17,18,18,5,1,0,0,-528,0
48800,13.8,784,18,33,17,3,2,2,1,528,1
55544,14.2,839,27,27,15,7,2,2,1,10102,1
45442,12.6,775,15,18,27,3,1,0,0,-10102,0
48538,12.6,695,19,33,13,7,1,2,0,5117,1
43421,12.8,707,13,15,19,2,2,0,1,-5117,0
45735,13.0,668,16,19,26,1,2,0,1,-5259,0
50994,13.4,752,26,33,16,4,2,2,0,5259,1
51317,13.4,768,28,41,28,4,1,1,0,2821,1
48496,13.8,636,28,38,28,1,2,1,1,-2821,0
51582,14.2,752,27,35,22,3,2,0,1,2586,1
48996,13.0,797,22,28,27,4,2,2,0,-2586,0
51580,13.2,581,35,64,28,5,2,1,0,-583,1
52163,12.6,626,28,54,35,6,1,1,1,583,0
