Gold,Level,Minions,Kills,Assists,Deaths,Plates,Towers,Dragons,Heralds,Sight_wards,Control_wards,Gold_diff,Win
27790,8.8,439,13,15,8,4,2,1,1,17,7,2770,1
25020,8.8,442,8,9,13,4,0,0,0,19,1,-2770,0
30568,9.2,463,17,21,6,5,2,2,1,17,6,7671,1
22897,8.8,410,6,3,17,2,0,0,0,23,5,-7671,0
24647,8.8,425,8,6,9,2,0,0,1,18,3,819,0
23828,8.6,414,9,13,8,1,0,1,0,22,8,-819,1
22248,8.8,354,10,9,10,2,0,1,0,18,5,-5186,0
27434,8.4,387,10,13,10,6,2,0,1,23,7,5186,1
27445,9.6,437,13,12,6,6,1,2,1,14,5,3601,1
23844,9.0,441,6,7,13,3,0,0,0,27,6,-3601,0
29995,9.0,411,18,26,11,7,1,1,1,20,5,4183,1
25812,8.6,435,11,15,18,2,0,0,0,19,7,-4183,0
32405,8.6,444,19,16,11,7,4,0,1,17,3,8647,1
23758,8.0,328,11,26,19,2,0,0,0,19,4,-8647,0
25603,8.6,402,12,12,23,4,0,0,0,15,1,-4729,0
30332,9.0,418,23,31,12,5,0,2,1,19,6,4729,1
26038,8.4,435,10,18,7,2,1,1,0,20,11,1843,1
24195,8.4,376,7,15,10,8,1,0,1,17,4,-1843,0
25904,8.8,395,11,10,10,7,1,0,1,16,4,-187,1
26091,8.8,426,10,14,11,5,1,1,0,21,5,187,0
27161,9.2,473,12,12,5,6,0,1,1,26,5,5158,1
22003,8.8,418,5,4,12,0,0,1,0,17,3,-5158,0
27908,8.2,326,14,19,18,5,1,1,1,25,5,2646,1
25262,8.2,317,18,18,14,2,0,1,0,14,0,-2646,0
23381,8.8,379,11,13,7,2,0,2,0,19,5,-2090,0
25471,8.8,424,7,4,11,4,2,0,1,17,6,2090,1
20263,8.6,429,1,0,16,0,0,0,0,18,6,-6519,0
26782,8.8,412,16,14,1,7,0,2,1,14,5,6519,1
26645,8.2,325,15,23,27,0,0,0,0,22,7,-8877,0
35522,9.2,464,27,24,15,8,3,0,1,21,9,8877,1
23571,8.6,401,7,9,11,3,0,0,0,25,6,-2388,0
25959,8.8,424,11,10,7,4,0,0,1,22,6,2388,1
24680,8.4,386,12,13,12,2,0,0,0,20,5,-2406,0
27086,9.0,405,12,6,12,6,2,0,0,20,2,2406,1
27883,8.4,387,13,14,14,7,1,1,1,21,2,472,0
27411,8.8,422,14,27,13,7,1,1,0,20,4,-472,1
24052,8.6,383,8,7,9,6,0,0,0,14,6,-358,0
24410,8.6,402,9,11,8,4,0,0,1,14,5,358,1
26586,8.2,395,11,9,7,8,2,0,1,21,7,2657,1
23929,8.2,388,7,11,11,7,0,1,0,17,2,-2657,0
32276,9.2,373,23,26,15,8,1,0,1,21,5,4522,1
27754,8.8,393,15,13,23,4,0,1,0,21,2,-4522,0
25020,8.4,381,10,10,12,3,1,1,0,21,3,-1715,1
26735,8.6,387,12,17,10,5,0,0,1,19,3,1715,0
28009,8.8,411,12,19,6,4,1,1,0,21,6,2839,1
25170,8.8,456,6,7,12,4,1,0,1,20,2,-2839,0
24959,9.0,412,10,7,12,5,0,0,1,16,2,-1536,0
26495,8.6,396,12,9,10,7,1,2,0,21,2,1536,1
24316,9.2,447,9,6,6,3,0,1,1,19,5,1361,0
22955,8.8,420,6,10,9,1,0,0,0,19,3,-1361,1
22951,8.6,396,6,6,20,2,0,0,0,19,6,-7513,0
30464,9.4,452,20,21,6,6,1,1,1,22,3,7513,1
26031,8.8,440,12,17,6,7,0,1,0,15,7,288,0
25743,9.0,467,6,6,12,6,2,0,1,20,7,-288,1
29802,8.8,427,15,15,12,6,3,0,1,13,5,3170,1
26632,8.8,405,12,10,15,2,1,1,0,19,1,-3170,0
28228,8.6,391,20,20,15,2,0,1,0,17,4,286,0
27942,8.8,381,15,12,20,5,1,1,1,17,3,-286,1
22327,8.4,345,8,9,14,0,0,0,0,13,2,-5708,0
28035,9.0,453,14,10,8,7,1,1,1,22,5,5708,1
22305,8.6,390,7,10,9,0,0,0,0,23,3,-4848,0
27153,9.0,444,9,12,7,6,2,2,1,17,6,4848,1
20604,8.2,434,1,2,13,2,0,0,0,16,2,-7745,0
28349,9.0,426,13,16,1,9,2,1,1,23,7,7745,1
25914,9.0,425,12,14,11,1,0,0,0,23,3,-3394,0
29308,9.4,495,11,7,12,5,2,1,1,18,7,3394,1
23506,9.0,445,5,4,7,3,0,1,1,18,4,-482,0
23988,9.0,460,7,15,5,2,0,1,0,21,2,482,1
31403,9.4,420,18,19,10,10,3,0,1,22,7,5531,1
25872,9.0,387,10,13,18,6,1,1,0,25,3,-5531,0
22869,8.8,435,4,6,3,3,0,0,0,21,6,-316,0
23185,8.6,429,3,2,4,6,0,2,1,25,6,316,1
27042,9.2,380,11,17,8,5,1,1,0,25,5,2888,1
24154,8.8,397,8,10,11,5,1,0,1,19,5,-2888,0
25626,8.6,286,18,19,15,0,0,0,0,20,3,-5577,0
31203,9.0,457,15,22,18,4,3,1,1,20,4,5577,1
24763,8.6,368,11,15,19,1,0,0,0,18,2,-6646,0
31409,8.8,422,19,23,11,12,4,1,1,16,6,6646,1
25947,8.8,399,15,12,11,5,0,1,1,16,4,-1433,0
27380,9.2,430,11,8,15,2,1,0,0,18,1,1433,1
22398,8.4,286,10,20,21,3,0,0,0,16,3,-10749,0
33147,9.0,411,21,32,10,11,4,1,1,17,5,10749,1
24004,8.6,400,7,6,15,5,0,0,0,22,4,-4410,0
28414,8.8,380,15,22,7,5,1,1,1,20,7,4410,1
26927,8.8,438,11,11,8,6,1,0,1,19,7,3165,1
23762,8.6,391,8,8,11,3,0,1,0,19,4,-3165,0
22529,8.8,406,5,9,9,1,0,1,0,17,7,-3500,0
26029,8.6,411,9,11,5,5,1,0,1,19,4,3500,1
25152,8.6,410,7,5,13,6,1,1,1,15,8,-866,0
26018,8.8,449,13,17,7,7,0,1,0,22,8,866,1
26448,8.8,381,15,16,11,2,0,0,1,23,4,-34,1
26482,8.6,444,11,13,15,3,0,1,0,21,4,34,0
24407,8.6,409,9,9,16,4,0,1,1,23,4,-3664,0
28071,9.0,444,16,31,9,6,0,1,0,22,6,3664,1
22227,8.2,424,4,3,12,3,0,0,1,18,6,-5353,0
27580,9.0,477,12,19,4,5,1,1,0,21,3,5353,1
29009,8.4,407,9,9,12,8,4,0,1,23,2,2917,0
26092,8.2,368,12,29,9,1,0,2,0,20,8,-2917,1
23010,8.2,359,9,6,15,1,0,0,0,21,5,-6019,0
29029,9.2,445,15,11,9,5,1,1,1,21,3,6019,1
22573,8.6,427,6,4,12,2,0,0,0,17,5,-5065,0
27638,9.0,456,12,19,6,7,1,2,1,21,6,5065,1
