
70675,16.8,1116,29,36,28,4,4,1,0,-2823,0
73498,16.8,1029,28,41,29,8,1,1,2,2823,1
74481,17.2,1186,30,37,38,6,2,1,1,-2995,0
77476,17.4,1184,38,47,30,4,4,1,1,2995,1
75068,16.6,1130,25,30,41,9,1,2,1,-6355,0
81423,17.6,1237,41,54,25,10,5,0,1,6355,1
78828,17.0,1187,44,43,37,12,3,1,0,-1315,0
80143,17.2,1151,37,39,44,6,3,1,3,1315,1
69600,17.0,1107,23,36,24,5,3,1,1,-4387,1
73987,16.4,1025,24,44,23,8,3,1,2,4387,0
74197,16.8,908,47,59,46,6,2,1,0,-6214,0
80411,17.4,1015,46,75,47,11,3,1,2,6214,1
70887,16.2,975,30,56,24,10,4,1,1,-1745,0
72632,17.0,1055,24,49,30,5,2,1,2,1745,1
