Gold,Level,Minions,Kills,Assists,Deaths,Plates,Towers,Dragons,Heralds,Barons,Sight_wards,Control_wards,Gold_diff,Win
23869,8.4,330,15,7,8,0,0,2,1,0,22,6,1752,1
23180,8.8,385,9,11,9,0,0,1,0,0,19,2,844,0
22336,8.4,335,9,8,9,0,0,0,1,0,16,6,-844,1
21816,9.0,362,10,7,8,0,0,2,0,0,19,5,-972,1
22788,8.6,356,8,4,10,0,1,0,1,0,14,5,972,0
24737,9.0,356,13,6,8,0,1,1,1,0,18,4,3962,0
20775,8.4,291,8,7,13,0,0,0,0,0,12,2,-3962,1
23978,9.0,300,17,4,8,0,0,0,1,0,14,2,2287,0
21691,8.4,353,8,6,17,0,0,1,0,0,18,5,-2287,1
23435,8.4,287,15,10,10,0,0,0,1,0,19,6,963,1
22472,8.2,314,10,9,15,0,0,1,0,0,18,3,-963,0
26445,8.8,378,10,12,3,0,2,1,1,0,14,7,5737,1
20708,8.4,360,3,2,10,0,0,1,0,0,21,7,-5737,0
21759,8.6,336,6,8,10,0,0,0,1,0,18,5,-1629,0
23388,9.0,364,10,5,6,0,0,1,0,0,21,4,1629,1
21939,8.6,305,11,7,7,0,0,1,0,0,19,4,-462,1
22401,8.6,302,7,4,11,0,1,0,0,0,17,1,462,0
26496,8.6,348,12,13,7,0,2,2,1,0,23,2,5646,1
20850,8.2,272,7,7,12,0,0,0,0,0,14,3,-5646,0
24758,9.0,345,11,7,8,0,2,2,1,0,9,4,3207,1
21551,8.2,298,8,11,11,0,0,0,0,0,26,4,-3207,0
20984,6.8,142,13,14,10,0,1,0,0,0,4,1,-101,1
21085,8.4,188,10,7,13,0,1,0,0,0,0,0,101,0
24276,8.4,301,10,9,19,0,1,0,1,0,17,3,-2399,1
26675,9.2,316,19,14,10,0,1,2,0,0,17,1,2399,0
20704,8.4,316,6,2,14,0,0,0,1,0,18,2,-4558,0
25262,9.0,356,14,11,6,0,0,1,0,0,19,6,4558,1
20016,8.2,323,5,1,10,0,0,0,0,0,14,2,-3726,0
23742,8.8,337,10,16,5,0,1,1,1,0,20,5,3726,1
21281,8.6,327,7,2,12,0,0,0,0,0,20,3,-2526,0
23807,8.6,357,12,14,7,0,0,1,1,0,20,3,2526,1
28452,9.4,307,27,15,6,0,1,2,1,0,12,2,11064,1
17388,8.4,208,6,4,27,0,0,0,0,0,2,0,-11064,0
20824,8.2,316,5,3,13,0,0,1,1,0,18,3,-1415,1
22239,8.2,293,13,9,5,0,0,0,0,0,15,4,1415,0
18885,8.2,289,4,2,9,0,0,0,0,0,11,7,-2492,0
21377,8.4,322,9,10,4,0,0,1,0,0,15,5,2492,1
21544,8.6,339,8,8,12,0,0,1,0,0,19,0,-2868,0
24412,8.8,358,12,11,8,0,0,0,0,0,21,2,2868,1
24923,9.0,310,15,15,13,0,1,1,0,0,15,2,145,1
24778,9.0,323,13,12,15,0,1,0,1,0,14,2,-145,0
23075,8.6,322,13,10,10,0,0,2,0,0,18,2,810,1
22265,8.6,329,10,7,13,0,0,0,0,0,17,1,-810,0
21362,8.2,230,10,14,18,0,0,0,1,0,8,3,-8062,0
29424,9.4,400,18,7,10,0,4,2,0,0,18,1,8062,1
20199,8.6,315,7,5,15,0,0,0,1,0,12,6,-6330,0
26529,9.4,356,15,9,7,0,1,1,0,0,15,3,6330,1
24775,8.8,334,14,8,10,0,0,1,1,0,16,5,3156,1
21619,8.2,292,10,10,14,0,0,0,0,0,20,1,-3156,0
23510,8.4,333,10,14,5,0,1,2,1,0,20,3,3377,1
20133,8.4,347,5,3,10,0,0,0,0,0,15,7,-3377,0
29635,9.2,316,27,15,11,0,4,1,0,0,9,0,10549,1
19086,8.2,144,11,13,27,0,0,0,0,0,0,0,-10549,0
30525,8.6,291,31,9,9,0,3,1,0,0,10,2,13118,1
17407,6.8,159,9,4,31,0,0,0,0,0,0,0,-13118,0
23979,8.8,347,10,11,9,0,1,0,1,0,20,1,836,0
23143,8.6,325,9,7,10,0,0,1,0,0,18,3,-836,1
22134,8.6,363,5,1,12,0,1,1,0,0,25,2,-850,1
22984,9.2,346,12,13,5,0,0,1,0,0,13,4,850,0
23948,9.0,383,9,5,9,0,0,1,0,0,14,1,3082,1
20866,8.6,266,9,11,9,0,0,1,0,0,20,7,-3082,0
24058,8.8,341,14,10,10,0,0,1,1,0,19,0,3160,1
20898,7.8,252,10,11,14,0,0,1,0,0,21,1,-3160,0
21124,8.2,295,7,4,16,0,0,0,0,0,17,4,-5078,0
26202,9.0,385,16,14,7,0,0,1,0,0,21,2,5078,1
