Gold,Level,Minions,Kills,Assists,Deaths,Plates,Towers,Dragons,Heralds,Sight_wards,Control_wards,Gold_diff,Win
30675,9.2,430,18,20,8,6,2,2,1,22,5,5804,1
24871,8.8,415,8,8,18,3,0,0,0,18,1,-5804,0
27499,9.2,440,13,12,8,5,2,2,0,20,5,2638,1
24861,8.4,409,8,10,13,4,0,0,1,20,3,-2638,0
27499,9.2,440,13,12,8,5,2,2,0,20,5,2638,1
24861,8.4,409,8,10,13,4,0,0,1,20,3,-2638,0
26653,9.4,474,12,13,11,4,0,0,0,19,6,1040,1
25613,9.0,424,11,12,12,3,0,1,1,20,5,-1040,0
23323,9.0,416,7,2,15,1,0,0,0,19,5,-5819,0
29142,9.0,439,15,16,7,6,1,2,1,21,4,5819,1
28470,8.8,398,15,12,10,9,1,0,0,21,6,2457,0
26013,8.6,390,10,9,15,6,1,1,1,24,1,-2457,1
23628,8.6,413,7,10,17,2,0,0,1,16,1,-7363,1
30991,9.4,494,17,21,7,6,2,2,0,21,7,7363,0
26686,8.4,417,11,15,5,4,1,1,0,21,4,4001,1
22685,8.4,409,5,3,11,3,0,0,1,19,3,-4001,0
28523,8.6,381,14,20,13,5,1,1,0,18,5,3771,1
24752,8.2,351,13,12,14,6,0,0,1,10,3,-3771,0
26200,8.8,451,9,7,12,3,1,0,0,16,7,-1026,0
27226,8.4,415,12,18,9,4,1,2,1,22,4,1026,1
25345,9.0,467,7,15,5,4,1,1,0,13,5,1962,1
23383,8.8,429,5,6,7,2,0,0,1,16,2,-1962,0
27435,9.0,481,10,10,5,8,1,1,1,21,9,5191,1
22244,8.4,411,5,6,10,0,0,0,0,20,3,-5191,0
30610,9.0,434,17,17,12,6,1,1,1,23,3,4361,0
26249,9.0,445,12,16,17,1,0,0,0,23,3,-4361,1
25162,8.4,357,11,14,16,5,0,2,0,22,4,-6842,0
32004,9.2,442,16,21,11,10,2,0,1,29,4,6842,1
26499,9.0,435,12,16,15,4,0,0,0,16,5,-1057,0
27556,8.8,393,15,19,12,7,0,1,1,23,4,1057,1
33812,9.2,474,18,21,7,11,4,1,1,21,4,11368,1
22444,8.4,403,7,9,18,1,0,1,0,10,3,-11368,0
26098,8.8,409,12,13,16,5,0,0,0,15,7,-2221,0
28319,9.0,419,16,21,12,8,0,1,1,18,5,2221,1
25715,9.0,496,6,7,8,3,0,0,0,18,1,-2670,1
28385,9.2,502,8,8,6,6,2,2,1,24,3,2670,0
25376,8.6,367,17,24,11,1,0,1,1,17,6,1028,1
24348,8.4,384,11,8,17,3,0,1,0,21,1,-1028,0
25571,8.8,366,11,18,13,3,0,0,1,22,0,-2968,0
28539,8.8,431,13,13,11,8,2,1,0,18,2,2968,1
26185,8.6,357,12,11,19,4,0,0,1,20,4,-1510,0
27695,8.8,384,19,16,12,6,1,1,0,13,3,1510,1
26227,8.4,406,11,11,10,7,1,1,1,20,8,873,1
25354,9.2,428,10,13,11,3,0,1,0,15,0,-873,0
24195,8.4,362,10,15,14,3,0,0,0,20,5,-5444,0
29639,9.2,426,14,15,10,9,2,0,1,27,1,5444,1
27222,8.8,451,13,15,10,7,1,0,1,17,4,2299,0
24923,8.4,419,10,18,13,2,0,1,0,19,2,-2299,1
36920,9.2,468,29,26,11,9,4,1,1,14,3,11820,1
25100,8.6,350,11,12,29,3,1,0,0,18,3,-11820,0
26875,9.0,431,13,11,11,1,0,0,1,18,6,693,0
26182,9.0,428,11,13,13,5,0,1,0,16,8,-693,1
26395,8.6,371,13,12,18,6,1,0,1,22,4,-3287,0
29682,9.0,414,18,27,13,8,1,1,0,19,6,3287,1
24752,8.4,391,7,6,13,6,1,0,1,21,4,-2183,0
26935,8.6,394,13,17,7,2,0,0,0,19,2,2183,1
26675,8.4,391,11,20,21,6,1,0,1,14,2,-4931,0
31606,9.2,432,21,30,11,7,3,1,0,14,7,4931,1
21270,8.2,395,3,2,13,1,0,0,1,23,0,-7289,0
28559,9.2,423,13,26,3,7,1,0,0,23,10,7289,1
24053,8.8,365,8,10,13,2,0,1,0,20,1,-1964,1
26017,9.4,386,13,11,8,4,0,0,1,17,6,1964,0
25703,8.6,439,8,8,11,4,0,0,1,19,4,-327,0
26030,9.4,464,11,12,8,4,0,1,0,22,6,327,1
25733,8.8,420,10,13,15,1,0,0,0,17,9,-3103,0
28836,9.2,457,15,13,10,6,1,1,1,17,3,3103,1
26406,8.8,408,7,8,3,8,1,1,1,17,4,4222,1
22184,8.8,462,3,4,7,3,0,1,0,11,7,-4222,0
30411,9.2,457,12,20,15,7,2,1,1,19,4,5080,0
25331,9.2,447,15,13,12,0,0,0,0,19,1,-5080,1
22538,7.8,349,10,11,20,1,0,0,0,13,7,-8571,0
31109,8.6,394,20,25,10,11,3,2,1,18,7,8571,1
28082,9.4,482,13,13,13,1,0,0,0,18,5,779,0
27303,9.0,412,13,12,13,5,0,2,1,22,5,-779,1
25733,8.6,412,12,10,9,6,0,1,1,12,5,2377,1
23356,8.2,361,9,13,12,3,0,0,0,26,4,-2377,0
23589,8.6,429,5,7,12,4,0,0,0,22,2,-1642,0
25231,8.8,375,12,16,5,3,0,2,1,16,4,1642,1
26490,9.2,405,10,11,14,3,1,1,1,19,3,953,1
25537,9.0,400,14,14,10,1,0,0,0,16,4,-953,0
25943,9.0,439,9,12,8,5,1,2,1,21,4,576,1
25367,9.2,464,8,4,9,4,0,0,0,17,4,-576,0
26843,9.0,388,15,19,12,1,0,0,0,18,3,275,0
26568,9.0,416,12,17,15,4,0,1,1,20,3,-275,1
25159,8.6,425,9,12,8,4,0,1,0,15,2,-110,0
25269,9.0,440,8,11,9,3,0,0,1,18,3,110,1
30184,8.6,399,20,19,12,4,1,1,1,24,4,5871,1
24313,7.8,351,12,15,20,2,0,0,0,17,2,-5871,0
27295,8.6,398,18,25,11,1,0,2,0,16,3,-341,1
27636,8.4,441,11,7,18,6,2,0,1,12,7,341,0
24272,8.8,437,7,8,11,3,0,0,1,16,5,-229,0
24501,9.2,391,11,21,7,3,0,2,0,24,8,229,1
29232,9.6,409,19,16,10,5,1,0,0,18,3,1183,1
28049,9.0,424,10,14,19,7,1,1,1,22,6,-1183,0
26847,9.2,423,10,13,8,5,1,1,0,16,5,866,1
25981,8.6,428,8,12,10,7,1,0,1,13,2,-866,0
25329,8.8,405,13,16,6,1,0,1,0,19,8,1205,1
24124,8.6,421,6,5,13,5,1,0,1,17,4,-1205,0
32104,9.2,434,21,19,11,11,4,2,1,13,4,7832,1
24272,8.6,350,11,10,21,3,0,0,0,12,1,-7832,0
24505,8.6,416,8,9,12,4,0,0,0,15,5,-3201,0
27706,9.0,439,12,20,8,4,1,2,1,20,2,3201,1
29551,9.0,395,16,17,10,10,2,0,1,19,2,6539,1
23012,8.8,369,10,5,16,0,0,0,0,20,1,-6539,0
