Gold,Level,Minions,Kills,Assists,Deaths,Towers,Dragons,Heralds,Barons,Gold_diff,Win
27160,9.2,422,9,10,10,2,1,0,0,1679,1
25481,9.2,449,10,7,9,0,0,1,0,-1679,0
27405,9.4,497,9,5,12,1,1,0,0,-733,0
28138,9.0,429,12,15,9,1,1,1,0,733,1
28961,9.0,474,13,9,7,2,1,1,0,3294,1
25667,9.0,431,7,6,13,1,0,0,0,-3294,0
30804,9.2,385,19,26,15,1,2,0,0,855,1
29949,9.0,397,15,24,19,1,0,1,0,-855,0
27788,9.4,412,15,20,11,1,1,0,0,355,0
27433,9.2,452,11,8,15,1,0,1,0,-355,1
30967,9.0,432,16,21,15,1,1,0,0,3192,1
27775,8.6,397,15,17,16,0,0,0,0,-3192,0
32087,9.4,410,20,17,13,1,1,1,0,5661,1
26426,9.2,368,13,12,20,0,0,0,0,-5661,0
30897,9.2,393,20,15,17,2,1,1,0,-325,1
31222,9.2,372,17,14,20,1,0,0,0,325,0
30452,9.4,448,16,14,12,2,0,1,0,1738,1
28714,9.2,399,12,16,16,1,2,0,0,-1738,0
26172,9.0,412,10,10,16,0,0,1,0,-995,0
27167,9.6,390,16,17,10,0,1,0,0,995,1
31957,9.2,468,15,18,11,2,2,1,0,7792,1
24165,9.0,339,11,17,15,0,0,0,0,-7792,0
27944,8.8,410,15,14,11,0,0,0,0,151,0
27793,9.2,434,11,13,15,0,1,1,0,-151,1
31833,10.0,473,17,14,11,3,0,1,0,7207,1
24626,8.8,377,11,11,17,0,2,0,0,-7207,0
31697,9.8,470,20,23,8,1,1,1,0,7847,1
23850,9.0,377,8,8,20,0,1,0,0,-7847,0
28500,9.2,412,13,13,19,1,1,1,0,-4158,0
32658,9.4,449,19,24,13,2,1,0,0,4158,1
26687,9.0,398,16,18,12,0,1,0,0,-2041,0
28728,9.4,444,12,17,16,1,0,1,0,2041,1
25605,8.8,398,10,11,19,0,1,0,0,-3996,1
29601,9.2,456,19,18,10,1,1,1,0,3996,0
35346,9.6,459,23,18,10,3,1,1,0,9933,1
25413,8.6,358,10,10,23,0,0,0,0,-9933,0
28942,9.6,482,11,14,10,1,0,0,0,1993,0
26949,9.4,493,10,9,11,0,2,1,0,-1993,1
26817,9.4,459,9,8,9,0,1,0,0,1305,1
25512,9.6,464,9,6,9,0,1,1,0,-1305,0
26330,9.2,459,9,6,15,1,2,0,0,-4460,0
30790,9.2,438,15,14,9,3,0,1,0,4460,1
33510,10.0,468,19,13,6,4,0,1,0,10101,1
23409,8.4,395,6,4,19,0,1,0,0,-10101,0
25606,9.4,459,8,3,7,1,0,1,0,123,1
25483,9.2,457,7,9,8,0,1,0,0,-123,0
31459,9.6,477,18,17,8,2,0,1,0,8252,1
23207,8.8,354,8,8,18,0,1,0,0,-8252,0
24516,8.8,439,7,9,18,0,0,0,0,-7759,0
32275,9.4,450,18,20,7,3,2,1,0,7759,1
33539,9.8,489,21,21,8,3,1,1,0,10679,1
22860,9.0,364,8,4,21,0,0,0,0,-10679,0
28214,8.4,376,17,24,23,0,1,0,0,-4206,1
32420,9.0,401,23,34,17,1,0,1,0,4206,0
27697,8.8,376,16,23,22,0,0,0,0,-7019,0
34716,9.6,485,22,18,16,3,2,1,0,7019,1
25909,9.2,435,9,8,16,0,1,0,0,-6082,0
31991,9.4,453,16,20,9,3,1,1,0,6082,1
28209,8.8,406,13,14,10,1,0,1,0,1732,1
26477,9.2,439,10,12,13,1,2,0,0,-1732,0
32700,9.4,435,16,16,10,4,1,0,0,9677,1
23023,8.2,345,10,8,16,0,1,1,0,-9677,0
27612,9.2,469,7,8,13,1,0,1,0,-429,0
28041,9.2,477,13,16,7,0,1,0,0,429,1
26248,8.8,399,13,12,13,0,0,1,0,-2816,0
29064,9.6,437,13,10,13,2,2,0,0,2816,1
29953,9.6,438,15,9,14,3,0,1,0,3326,0
26627,9.6,441,14,14,15,0,2,0,0,-3326,1
29477,9.2,459,12,12,12,1,1,1,0,1520,1
27957,9.2,430,12,12,12,1,1,0,0,-1520,0
24382,9.2,434,10,6,4,0,1,0,0,-729,0
25111,9.0,478,4,2,10,1,0,1,0,729,1
25288,8.6,378,12,16,21,0,0,0,0,-10662,0
35950,9.8,488,21,17,12,4,2,1,0,10662,1
25288,8.6,378,12,16,21,0,0,0,0,-10662,0
35950,9.8,488,21,17,12,4,2,1,0,10662,1
30243,8.4,383,16,12,33,1,0,0,0,-7298,0
37541,9.6,437,33,38,16,1,2,1,0,7298,1
25233,8.8,408,10,12,14,0,0,0,0,-3700,0
28933,8.8,436,14,16,10,1,1,1,0,3700,1
24418,8.4,330,9,5,30,0,0,0,0,-12293,0
36711,9.6,388,30,26,9,7,1,1,0,12293,1
27567,9.6,433,13,17,8,0,1,0,0,-1216,1
28783,9.2,489,8,6,13,2,1,1,0,1216,0
36868,10.2,530,26,31,8,3,1,0,0,11990,1
24878,8.2,366,8,13,26,1,0,1,0,-11990,0
28142,8.8,432,13,13,18,1,0,0,0,-1929,1
30071,8.8,421,18,25,13,0,2,1,0,1929,0
30721,9.4,462,17,17,17,1,2,0,0,311,0
30410,9.4,416,17,11,17,1,0,1,0,-311,1
31828,10.0,463,21,18,8,2,1,1,0,6988,1
24840,9.2,451,8,7,21,0,0,0,0,-6988,0
27218,9.0,390,14,9,16,0,1,0,0,-1250,1
28468,9.2,405,16,17,14,1,0,1,0,1250,0
26541,9.4,490,7,5,10,1,1,1,0,-1668,0
28209,9.8,484,10,14,7,0,0,0,0,1668,1
23847,9.4,509,2,2,5,0,0,0,0,-1389,0
25236,9.4,514,5,5,2,0,2,1,0,1389,1
25904,9.2,403,10,14,14,0,1,0,0,-4837,0
30741,9.0,466,14,18,10,2,1,1,0,4837,1
28001,9.2,406,13,12,12,1,0,1,0,-745,1
28746,9.0,453,12,12,13,1,1,0,0,745,0
29439,9.4,465,14,19,8,2,1,1,0,4658,1
24781,8.8,435,8,8,14,0,0,0,0,-4658,0
25030,9.0,420,7,9,11,0,1,0,0,-2226,0
27256,9.0,423,11,14,7,1,0,1,0,2226,1
34000,9.2,458,21,18,11,3,2,0,0,7676,1
26324,8.4,396,11,14,21,1,0,1,0,-7676,0
27191,9.4,476,11,16,11,0,1,1,0,-647,0
27838,9.4,463,11,4,11,1,1,0,0,647,1
29620,9.0,405,16,19,18,1,0,1,0,2216,0
27404,9.0,362,18,18,16,0,1,0,0,-2216,1
22761,8.8,429,4,3,10,0,0,1,0,-4871,0
27632,9.0,457,10,11,4,1,1,0,0,4871,1
30064,9.2,464,12,16,8,2,0,1,0,6189,1
23875,8.6,378,8,12,12,0,1,0,0,-6189,0
29463,9.0,466,12,9,19,2,0,0,0,-1992,0
31455,8.8,395,19,24,12,3,1,1,0,1992,1
28347,8.8,432,11,19,16,1,0,1,0,-1702,0
30049,9.6,495,16,15,11,1,2,0,0,1702,1
29111,9.4,478,14,13,10,1,1,1,0,91,1
29020,9.2,465,10,7,14,1,1,0,0,-91,0
