Gold,Level,Minions,Kills,Assists,Deaths,Towers,Dragons,Heralds,Barons,Gold_diff,Win
20410,8.0,337,7,6,7,0,1,0,0,195,1
20215,8.0,373,7,4,7,0,0,1,0,-195,0
19744,7.8,396,6,0,10,0,1,0,0,-2767,0
22511,7.8,344,10,13,6,0,0,1,0,2767,1
21919,8.0,386,8,4,5,1,1,1,0,1790,1
20129,7.8,366,5,3,8,0,0,0,0,-1790,0
23975,8.0,316,14,15,10,1,1,0,0,1426,1
22549,8.2,324,10,10,14,0,0,1,0,-1426,0
20017,7.6,316,9,10,9,0,1,0,0,-1813,0
21830,8.0,378,9,6,9,0,0,0,0,1813,1
23152,7.8,347,11,15,12,0,0,0,0,1260,1
21892,7.8,326,12,15,11,0,0,0,0,-1260,0
24961,8.2,311,17,13,12,0,0,0,0,3687,1
21274,7.6,274,12,11,17,0,0,0,0,-3687,0
23147,7.6,280,16,13,11,0,1,1,0,609,1
22538,7.8,285,11,4,16,0,0,0,0,-609,0
23636,8.0,347,12,11,9,1,0,1,0,905,1
22731,8.0,310,9,11,12,1,1,0,0,-905,0
20680,7.8,326,8,9,10,0,0,1,0,-38,0
20718,8.4,318,10,8,8,0,1,0,0,38,1
25143,8.0,387,10,12,9,1,1,1,0,5388,1
19755,7.6,271,9,15,10,0,0,0,0,-5388,0
21688,7.4,290,12,12,10,0,0,0,0,-716,0
22404,8.0,333,10,10,12,0,1,1,0,716,1
24370,8.4,372,13,9,7,1,0,1,0,5596,1
18774,7.8,303,7,4,13,0,1,0,0,-5596,0
24048,8.2,383,13,16,6,0,1,1,0,4336,1
19712,7.8,322,6,5,13,0,1,0,0,-4336,0
21867,7.6,321,9,8,15,1,0,1,0,-3111,0
24978,8.0,355,15,18,9,0,1,0,0,3111,1
21326,7.6,311,12,14,9,0,1,0,0,-229,0
21555,7.8,346,9,13,12,0,0,1,0,229,1
20925,7.4,311,9,10,17,0,1,0,0,-2637,1
23562,8.0,332,17,16,9,0,0,1,0,2637,0
26238,8.4,363,17,15,7,0,1,0,0,6278,1
19960,7.4,290,7,9,17,0,0,0,0,-6278,0
20721,8.0,364,7,8,9,0,0,0,0,-1126,0
21847,8.0,389,9,8,7,0,1,1,0,1126,1
20792,8.2,359,7,7,7,0,1,0,0,1258,1
19534,7.8,353,7,5,7,0,1,1,0,-1258,0
21689,7.8,354,8,6,13,1,1,0,0,-1889,0
23578,7.6,314,13,12,8,1,0,1,0,1889,1
24782,8.2,337,15,10,6,1,0,1,0,5005,1
19777,7.6,330,6,4,15,0,1,0,0,-5005,0
18347,7.8,356,4,1,7,0,0,1,0,-2763,1
21110,8.4,361,7,9,4,0,1,0,0,2763,0
23014,8.2,370,12,10,8,0,0,1,0,3771,1
19243,7.4,274,8,8,12,0,1,0,0,-3771,0
19144,7.4,340,5,7,11,0,0,0,0,-4958,0
24102,8.0,372,11,13,5,1,1,1,0,4958,1
25505,8.4,377,16,18,6,1,1,1,0,6809,1
18696,7.4,293,6,4,16,0,0,0,0,-6809,0
22638,7.2,316,13,20,14,0,1,0,0,-1996,1
24634,7.8,334,14,18,13,1,0,1,0,1996,0
22844,7.8,309,14,19,16,0,0,0,0,-3162,0
26006,8.0,364,16,13,14,1,1,1,0,3162,1
20345,7.6,345,7,5,10,0,0,0,0,-2692,0
23037,8.2,358,10,12,7,0,1,1,0,2692,1
22216,7.8,312,10,11,7,1,0,0,0,1856,1
20360,7.6,337,7,8,10,0,1,0,0,-1856,0
23367,7.8,332,9,8,8,1,0,0,0,3873,1
19494,7.4,314,8,6,9,0,1,1,0,-3873,0
21333,8.4,369,5,4,9,0,0,1,0,-265,0
21598,8.2,388,9,11,5,0,1,0,0,265,1
21834,8.0,342,11,8,7,0,0,1,0,1670,0
20164,8.2,332,7,5,11,0,1,0,0,-1670,1
21281,7.8,345,9,4,11,1,0,1,0,-385,0
21666,8.2,357,11,13,9,0,1,0,0,385,1
22538,8.0,367,10,10,10,0,1,0,0,242,1
22296,7.6,328,10,9,10,1,0,0,0,-242,0
19180,7.8,329,8,4,3,0,1,0,0,-68,0
19248,7.8,382,3,2,8,0,0,1,0,68,1
21562,7.6,293,12,16,15,0,0,0,0,-6427,0
27989,8.4,391,15,12,12,2,1,1,0,6427,1
21562,7.6,293,12,16,15,0,0,0,0,-6427,0
27989,8.4,391,15,12,12,2,1,1,0,6427,1
23808,7.6,306,14,10,25,0,0,0,0,-4337,0
28145,8.4,325,25,33,14,0,1,1,0,4337,1
