Gold,Level,Minions,Kills,Assists,Deaths,Plates,Towers,Dragons,Heralds,Barons,Sight_wards,Control_wards,Gold_diff,Win
54069,13.8,572,30,19,40,6,6,0,2,1,38,0,80,0
53989,13.6,627,40,49,30,2,3,4,0,0,39,3,-80,1
45757,13.8,727,12,11,23,1,1,1,2,0,44,3,-6734,0
52491,14.2,801,23,22,12,5,11,2,0,0,58,0,6734,1
48574,13.0,576,23,20,30,5,5,1,2,1,48,8,-6198,0
54772,14.2,736,30,26,23,3,3,3,0,0,41,3,6198,1
44391,12.8,719,11,15,29,2,1,2,0,1,43,8,-6552,0
50943,14.4,712,29,38,11,0,4,2,1,0,38,11,6552,1
45126,13.0,605,25,22,25,3,1,0,1,0,25,0,-5637,0
50763,14.0,681,25,28,25,1,7,3,1,0,45,4,5637,1
50168,13.6,672,27,13,43,4,2,1,1,0,35,5,-6663,0
56831,14.2,654,43,46,27,2,8,3,0,0,41,1,6663,1
42476,12.0,618,15,7,18,3,3,1,0,0,42,2,-6085,0
48561,13.4,709,18,22,15,3,7,3,2,0,45,1,6085,1
50963,13.6,617,30,35,44,4,2,0,1,1,42,4,-8311,0
59274,14.6,635,44,43,30,4,9,4,1,0,43,5,8311,1
52201,13.6,628,30,43,27,4,6,1,0,0,47,3,2690,1
49511,13.2,503,27,40,30,7,4,2,2,0,47,10,-2690,0
48503,13.8,574,29,30,34,1,3,2,0,1,41,4,-5186,0
53689,14.6,641,34,17,29,3,9,2,2,0,46,5,5186,1
57745,15.0,724,32,31,28,7,6,2,1,1,52,2,6380,1
51365,13.8,669,28,29,32,5,4,2,1,0,36,1,-6380,0
52765,13.4,650,31,20,39,6,7,1,1,0,32,5,-715,0
53480,13.8,594,39,44,31,2,3,2,0,0,46,6,715,1
46572,13.6,725,16,16,21,3,3,0,2,0,42,6,-2455,1
49027,14.4,765,21,25,16,1,4,4,0,0,43,6,2455,0
46818,12.2,513,24,36,36,3,2,1,1,0,56,14,-2345,1
49163,12.6,489,36,36,24,1,5,2,1,0,43,2,2345,0
52578,14.0,659,30,24,23,4,12,2,2,0,35,5,6604,1
45974,14.0,600,23,28,30,0,0,0,0,0,39,1,-6604,0
49588,13.8,708,21,24,22,6,3,3,0,0,34,4,3406,1
46182,13.0,622,22,27,21,1,3,0,0,0,34,0,-3406,0
46638,13.6,675,20,21,27,1,0,1,1,0,41,8,-7176,0
53814,14.0,735,27,28,20,5,10,2,0,0,42,8,7176,1
49144,13.4,581,28,30,31,5,4,1,0,0,45,0,-1445,0
50589,13.6,613,31,37,28,3,4,3,2,0,36,0,1445,1
55626,13.8,644,38,32,21,3,10,3,1,0,30,10,7738,1
47888,12.6,600,21,27,38,5,3,0,1,0,48,2,-7738,0
49132,13.4,601,30,32,21,2,3,2,0,1,49,3,-2135,1
51267,13.8,655,21,23,30,3,6,0,2,0,37,4,2135,0
47712,13.8,577,26,45,22,1,4,1,0,0,39,1,1037,0
46675,13.0,647,22,22,26,1,4,2,1,0,48,2,-1037,1
48488,13.0,568,31,19,35,6,4,0,0,1,31,0,-4909,0
53397,14.2,560,35,43,31,3,7,4,1,0,24,1,4909,1
50195,13.8,623,33,39,21,4,6,3,1,1,31,5,539,1
49656,13.8,632,21,27,33,1,6,0,0,0,46,2,-539,0
51659,14.0,537,41,33,34,5,3,1,0,0,30,2,1996,0
49663,13.4,586,34,25,41,2,5,2,1,0,44,4,-1996,1
42341,12.4,484,20,25,40,1,0,1,1,0,61,0,-9601,0
51942,13.6,580,40,37,20,4,8,2,0,0,38,1,9601,1
49271,13.8,668,25,24,24,4,3,3,1,0,49,3,1806,1
47465,13.8,632,24,28,25,3,3,0,1,0,51,5,-1806,0
49791,13.2,553,30,39,30,1,4,4,1,0,46,5,907,1
48884,13.6,604,30,28,30,3,2,0,0,0,41,0,-907,0
51529,13.8,688,24,32,23,3,5,1,1,0,43,4,2287,1
49242,13.8,695,23,14,24,4,5,3,1,0,46,2,-2287,0
48346,13.8,695,23,23,22,4,5,4,0,0,39,0,4524,1
43822,13.2,616,22,26,23,0,2,0,1,0,32,6,-4524,0
46694,14.0,691,24,20,22,1,2,2,2,0,45,2,1028,1
45666,13.6,688,22,23,24,1,3,2,0,0,42,2,-1028,0
51264,13.4,595,27,24,43,6,6,2,1,1,45,0,-6662,0
57926,14.4,676,43,37,27,2,4,1,0,0,52,10,6662,1
47416,13.6,678,25,29,25,0,2,2,0,0,50,3,-4531,0
51947,14.0,719,25,29,25,1,4,1,2,0,45,5,4531,1
44197,12.6,632,12,15,30,4,3,2,0,1,27,0,-8272,0
52469,14.6,599,30,54,12,3,5,2,1,0,41,2,8272,1
49214,14.0,601,24,32,28,0,1,3,1,0,38,4,-4609,1
53823,14.0,704,28,31,24,0,9,1,0,0,48,5,4609,0
59062,14.4,687,38,53,41,0,4,1,1,1,43,4,-3463,0
62525,14.6,714,41,57,38,0,8,3,1,0,49,4,3463,1
52931,14.0,686,27,21,30,0,6,1,2,0,45,2,2024,1
50907,14.2,673,30,28,27,0,3,3,0,0,40,8,-2024,0
48316,13.4,629,24,25,34,0,3,1,0,0,48,2,-5549,0
53865,14.6,723,34,21,24,0,5,3,2,0,41,3,5549,1
48039,13.6,537,28,24,45,0,1,0,0,1,45,0,-12753,0
60792,15.2,687,45,42,28,0,11,4,2,0,38,10,12753,1
