Gold,Level,Minions,Kills,Assists,Deaths,Plates,Towers,Dragons,Heralds,Sight_wards,Control_wards,Gold_diff,Win
20073,8.4,318,5,6,16,2,0,0,0,18,4,-5022,0
22913,8.8,301,13,8,9,3,0,0,0,20,0,567,0
22346,8.4,319,9,9,13,2,0,1,0,24,1,-567,1
22520,8.6,342,10,5,5,4,1,1,1,14,2,1317,1
21203,8.6,349,5,4,10,1,0,0,0,25,1,-1317,0
23214,8.8,298,13,7,11,5,0,0,0,13,1,2139,0
21075,8.6,279,11,6,13,2,0,1,0,21,2,-2139,1
27045,8.2,282,19,15,11,7,1,1,1,15,1,3443,1
23602,8.0,277,11,9,19,3,0,0,0,11,2,-3443,0
20545,8.4,269,9,5,15,1,0,1,1,25,0,-3092,0
23637,8.8,323,15,7,9,4,0,0,0,18,1,3092,1
19886,8.4,280,9,4,9,2,0,0,0,20,3,-3546,0
23432,8.8,314,9,7,9,4,1,2,1,20,6,3546,1
23194,8.8,346,8,5,7,4,0,1,1,23,2,1053,1
22141,9.0,344,7,3,8,3,0,0,0,22,2,-1053,0
22111,8.8,321,9,7,10,1,0,1,0,21,2,-1005,1
23116,8.6,336,10,6,9,3,0,0,0,21,0,1005,0
22428,8.2,307,6,4,7,3,2,0,0,18,2,1448,1
20980,8.4,316,7,4,6,4,0,1,1,19,1,-1448,0
25818,8.4,307,16,18,14,5,0,0,1,18,2,2435,1
23383,8.8,271,14,14,16,1,0,1,0,14,1,-2435,0
24095,9.2,345,13,10,6,3,0,2,1,23,2,4264,1
19831,8.6,283,6,3,13,1,0,0,0,20,2,-4264,0
23586,8.8,402,9,6,4,3,0,0,1,18,1,5277,1
18309,8.4,266,4,0,9,1,0,1,0,20,3,-5277,0
22041,8.4,360,7,5,4,2,1,0,0,16,2,2774,1
19267,8.4,314,4,3,7,1,0,0,1,13,1,-2774,0
20901,8.4,351,6,4,6,4,0,2,0,15,0,1783,1
19118,8.4,317,6,1,6,0,0,0,1,15,6,-1783,0
20960,8.4,353,7,5,10,1,0,1,1,17,1,-863,1
21823,9.2,347,10,8,7,1,0,0,0,16,2,863,0
24294,8.6,313,11,6,19,6,1,0,0,18,0,-1211,0
25505,8.8,325,19,14,11,2,0,1,0,23,4,1211,1
22361,8.6,343,9,7,7,0,0,1,0,21,1,-16,0
22377,8.6,352,7,6,9,1,0,0,1,21,4,16,1
21497,8.0,323,6,5,9,4,0,1,0,11,0,-1627,0
23124,8.4,299,9,9,6,3,0,0,1,16,2,1627,1
23330,8.8,314,11,8,4,3,0,0,1,19,2,5089,1
18241,8.2,268,4,2,11,0,0,1,0,17,1,-5089,0
28184,8.8,313,19,23,11,5,1,0,1,21,2,4332,1
23852,8.2,321,11,6,19,5,1,0,0,21,3,-4332,0
21427,8.2,247,8,10,11,0,0,1,0,17,2,-1639,1
23066,8.6,306,11,11,8,0,0,1,0,22,3,1639,0
22416,9.0,336,8,7,6,0,0,0,0,20,6,1285,0
21131,8.8,337,6,2,8,0,0,2,0,21,3,-1285,1
26924,8.4,315,17,20,20,0,0,0,0,16,3,-1103,0
28027,8.4,329,20,22,17,0,2,1,1,20,3,1103,1
21535,8.6,320,8,3,13,0,0,0,1,16,1,-2583,1
24118,8.8,328,13,13,8,0,0,1,0,18,4,2583,0
21792,8.6,294,10,6,12,0,0,1,0,22,2,-2245,0
24037,9.2,340,12,5,10,0,0,0,1,14,4,2245,1
22969,8.6,325,9,6,10,0,0,1,0,18,1,619,0
22350,8.6,312,10,8,9,0,0,1,1,15,1,-619,1
26275,9.4,388,14,12,11,0,1,1,1,23,2,2715,1
23560,8.8,350,11,12,14,0,0,0,0,14,5,-2715,0
22639,8.2,296,12,9,12,0,0,0,0,24,0,-1808,0
24447,8.8,346,12,10,12,0,0,2,1,22,6,1808,1
24715,8.6,292,12,13,13,0,1,0,0,15,4,36,0
24679,8.4,325,13,15,12,0,1,2,1,18,4,-36,1
22253,8.4,298,11,14,14,0,0,1,0,16,2,-3586,1
25839,8.8,332,14,12,11,0,1,0,1,18,1,3586,0
26623,9.2,396,14,7,15,0,1,1,0,14,1,1928,1
24695,9.0,304,15,11,14,0,0,0,1,20,2,-1928,0
22563,8.6,270,12,11,9,0,0,1,0,19,0,-367,0
22930,8.8,376,9,2,12,0,0,0,1,19,3,367,1
21917,8.4,300,8,7,19,0,0,0,0,21,2,-8074,0
29991,9.4,347,19,15,8,0,3,1,1,23,5,8074,1
22416,8.4,284,12,10,19,0,0,0,0,19,1,-6676,0
29092,9.4,367,19,22,12,0,1,2,1,18,3,6676,1
22383,8.4,334,8,8,7,0,0,0,1,13,5,1058,0
21325,8.2,319,7,10,8,0,0,1,0,17,3,-1058,1
22737,8.6,290,11,9,19,0,0,1,0,15,3,-2903,0
25640,8.8,297,19,10,11,0,1,0,1,18,0,2903,1
24044,8.6,375,8,6,7,0,1,1,1,18,3,2266,1
21778,8.6,329,7,9,8,0,0,1,0,18,1,-2266,0
19783,8.2,294,7,7,9,0,0,1,0,18,4,-2197,0
21980,8.2,283,9,15,7,0,0,0,1,20,3,2197,1
26803,9.6,430,15,4,9,0,2,1,0,15,2,4491,1
22312,8.6,308,9,9,15,0,0,0,0,11,1,-4491,0
19032,8.8,332,3,0,6,0,0,1,1,16,3,-2113,1
21145,8.8,362,6,1,3,0,0,0,0,19,3,2113,0
23784,8.8,323,11,11,9,0,0,1,0,17,1,460,0
23324,8.6,330,9,10,11,0,0,0,1,19,4,-460,1
21630,8.4,315,8,7,23,0,0,1,0,24,2,-6247,0
27877,9.4,333,23,18,8,0,0,0,0,17,2,6247,1
22749,8.6,312,10,12,10,0,0,0,0,19,0,-737,1
23486,8.6,356,10,6,10,0,0,1,0,20,2,737,0
