Gold,Level,Minions,Kills,Assists,Deaths,Towers,Dragons,Heralds,Barons,Gold_diff,Win
53960,13.8,729,28,41,20,8,3,0,0,6653,1
47307,13.4,740,20,29,28,2,0,2,1,-6653,0
54873,14.2,809,24,35,25,8,2,1,1,3155,0
51718,13.6,789,25,28,24,3,2,1,0,-3155,1
48696,13.2,706,25,40,34,2,2,0,0,-10783,0
59479,14.8,818,34,55,25,8,1,2,1,10783,1
59288,14.0,716,37,53,32,8,3,1,1,6170,1
53118,13.2,677,32,47,37,2,0,0,0,-6170,0
57920,14.6,813,33,33,29,4,2,1,1,4330,1
53590,14.0,672,29,40,33,4,2,1,0,-4330,0
53399,13.4,750,29,32,28,3,0,0,0,-5070,0
58469,14.4,825,28,34,29,7,3,2,1,5070,1
53492,13.8,696,33,52,33,2,2,1,0,-3433,0
56925,14.4,769,33,57,33,4,1,1,1,3433,1
54226,14.4,695,31,43,36,4,2,0,0,796,1
53430,13.6,760,36,34,31,4,2,2,0,-796,0
53179,14.0,852,19,24,29,5,0,1,0,-4914,0
58093,14.8,930,29,49,19,8,4,1,1,4914,1
56270,14.6,874,22,23,20,7,3,0,1,6042,1
50228,14.0,817,20,23,22,4,1,2,0,-6042,0
54811,14.4,801,24,19,39,3,2,1,1,-5308,0
60119,14.8,828,39,43,24,8,2,1,0,5308,1
55046,15.0,796,32,25,26,7,0,2,1,3555,1
51491,14.2,773,26,40,32,2,3,0,0,-3555,0
53633,14.2,761,26,47,46,1,0,0,0,-9579,0
63212,15.4,815,46,47,26,11,4,2,1,9579,1
59062,13.8,710,36,56,41,3,3,0,0,-432,1
59494,13.4,699,41,51,36,9,1,2,1,432,0
52464,13.8,743,20,28,37,2,1,0,1,-6662,0
59126,14.0,787,37,46,20,10,3,2,0,6662,1
58430,14.6,700,42,56,27,7,1,1,1,5615,1
52815,13.8,700,27,33,42,3,3,1,0,-5615,0
52596,13.6,793,22,38,28,5,0,2,0,-3529,0
56125,14.2,813,28,45,22,5,3,0,1,3529,1
53735,14.2,761,28,21,31,5,1,2,1,285,0
53450,14.0,777,31,40,28,6,3,0,0,-285,1
52661,14.2,738,29,31,24,5,2,0,1,-2072,0
54733,14.2,832,24,33,29,5,1,2,0,2072,1
57594,15.0,734,36,56,17,8,2,1,1,6561,1
51033,13.0,808,17,17,36,4,2,1,0,-6561,0
46931,13.2,788,16,21,32,1,2,1,0,-12052,0
58983,14.6,799,32,42,16,8,1,1,1,12052,1
50380,13.8,708,22,41,34,2,1,0,0,-12152,0
62532,15.0,846,34,47,22,12,3,2,2,12152,1
49698,13.8,767,23,29,21,2,3,1,0,523,0
49175,13.2,717,21,27,23,4,0,1,0,-523,1
48998,13.6,854,20,26,26,2,2,1,0,-4528,0
53526,14.2,847,26,29,20,4,2,1,0,4528,1
55896,13.6,721,31,40,37,9,1,1,0,-219,0
56115,14.4,687,37,53,31,4,2,1,1,219,1
45059,13.2,805,8,16,13,1,0,1,0,-6660,0
51719,13.0,763,13,19,8,13,4,1,2,6660,1
52531,13.4,764,18,33,30,3,0,1,1,-3390,0
55921,13.8,857,30,40,18,7,4,1,0,3390,1
53281,14.4,796,30,39,35,3,1,1,0,-6080,0
