
69212,16.4,1084,29,36,28,4,4,1,0,-1708,0
70920,16.6,989,28,41,29,7,1,1,2,1708,1
72044,16.8,1159,28,37,37,6,2,1,1,-3341,0
75385,17.4,1148,37,44,28,4,4,1,1,3341,1
76559,17.2,978,40,76,39,4,2,1,0,-2635,0
79194,17.6,1031,39,73,40,9,3,1,3,2635,1
74079,16.6,1120,25,30,36,8,1,2,1,-2628,0
76707,17.0,1219,36,49,25,10,4,0,1,2628,1
76885,17.0,1138,44,43,37,12,3,1,0,-1340,0
78225,17.0,1104,37,39,44,6,3,1,3,1340,1
78270,17.2,1009,40,62,39,8,4,0,2,4083,1
74187,16.8,1006,39,63,40,9,1,2,1,-4083,0
81318,17.8,1192,40,64,34,11,2,2,1,6461,1
74857,16.8,1065,34,43,40,5,3,0,1,-6461,0
68072,17.0,1087,22,33,21,5,3,1,1,-2637,1
70709,16.4,1006,21,39,22,8,3,1,2,2637,0
72611,16.8,887,46,58,46,6,2,1,0,-4788,0
77399,17.0,984,46,75,46,10,3,1,1,4788,1
75553,16.6,967,40,47,51,11,3,2,1,-5217,0
80770,17.8,989,51,73,40,5,3,0,2,5217,1
69969,16.0,960,30,56,24,10,3,1,1,-1111,0
71080,16.8,1021,24,49,30,5,2,1,2,1111,1
