Gold,Level,Minions,Kills,Assists,Deaths,Towers,Dragons,Heralds,Barons,Gold_diff,Win
40735,11.4,599,16,20,14,5,2,0,0,5685,1
35050,11.4,603,14,13,16,1,0,2,0,-5685,0
42431,12.2,657,16,21,18,3,2,1,1,2767,0
39664,11.4,607,18,22,16,3,1,1,0,-2767,1
43281,11.6,524,27,42,21,4,3,1,0,1243,1
42038,11.4,555,21,37,27,3,0,1,0,-1243,0
39411,11.8,594,21,32,20,2,2,0,0,-2369,0
41780,12.0,655,20,27,21,2,0,2,0,2369,1
45490,12.0,595,26,34,22,3,2,1,1,6365,1
39125,10.8,524,22,31,26,2,0,0,0,-6365,0
48450,12.6,592,32,32,18,4,2,2,1,11153,1
37297,11.2,490,18,20,32,0,0,0,0,-11153,0
45112,11.6,586,28,21,29,5,2,1,0,-232,1
45344,12.2,526,29,24,28,4,0,1,0,232,0
44149,12.0,637,24,21,20,4,1,1,0,2640,1
41509,11.6,550,20,24,24,4,2,1,0,-2640,0
38068,11.0,516,17,20,30,1,0,1,0,-4846,0
42914,12.0,528,30,34,17,6,2,1,0,4846,1
41716,11.2,589,22,24,19,3,0,0,0,-276,0
41992,11.6,628,19,23,22,3,2,2,0,276,1
47934,12.4,677,33,43,12,5,2,1,0,15089,1
32845,10.6,490,12,17,33,0,1,1,0,-15089,0
39796,11.4,559,20,24,29,1,1,1,0,-8052,0
47848,12.4,620,29,42,20,4,2,1,1,8052,1
39919,11.4,552,24,34,23,0,2,1,0,-2911,0
42830,12.0,623,23,30,24,3,0,1,0,2911,1
40095,11.6,570,19,19,31,2,1,0,0,-3054,1
43149,12.0,615,31,29,19,3,2,2,0,3054,0
50492,13.0,711,29,21,15,5,3,2,1,12420,1
38072,11.2,533,15,22,29,2,0,0,0,-12420,0
41171,12.0,684,15,19,22,3,0,1,0,-2789,0
43960,12.6,726,22,34,15,4,3,1,0,2789,1
41558,12.4,668,16,15,13,3,2,0,1,3483,1
38075,11.8,651,13,12,16,3,1,2,0,-3483,0
42391,12.0,649,16,12,27,3,2,1,1,-4813,0
47204,12.6,683,27,23,16,6,1,1,0,4813,1
39102,12.0,635,19,12,18,2,0,2,0,-604,1
39706,12.0,634,18,26,19,2,2,0,0,604,0
48295,12.6,692,32,35,19,6,1,2,0,9011,1
39284,11.4,499,19,29,32,2,1,0,0,-9011,0
39036,11.4,619,15,22,29,1,0,0,0,-8400,0
47436,12.6,669,29,35,15,5,3,2,0,8400,1
41523,11.0,537,23,30,36,1,2,0,0,-7455,1
48978,12.4,597,36,46,23,5,1,2,1,7455,0
42658,11.2,513,26,45,34,2,1,0,0,-8247,0
50905,12.6,644,34,40,26,5,2,2,1,8247,1
39200,11.8,605,12,12,26,2,1,0,1,-6725,0
45925,12.0,646,26,28,12,7,2,2,0,6725,1
43433,11.6,580,28,33,16,4,1,1,0,4940,1
38493,11.4,578,16,21,28,1,2,1,0,-4940,0
42367,12.0,642,17,30,22,4,0,2,0,-192,0
42559,11.8,637,22,34,17,4,2,0,0,192,1
39175,11.0,590,18,18,26,2,0,1,0,-3770,0
42945,12.0,560,26,34,18,6,3,1,0,3770,1
40771,11.8,615,21,13,20,4,1,2,0,189,0
40582,11.8,636,20,20,21,3,2,0,0,-189,1
