Gold,Level,Minions,Kills,Assists,Deaths,Towers,Dragons,Heralds,Barons,Gold_diff,Win
67843,15.8,973,30,46,36,9,2,1,1,-630,0
68473,16.4,936,36,53,30,9,3,1,1,630,1
70265,16.2,912,43,77,38,4,2,1,0,-608,0
70873,16.8,969,38,70,43,4,3,1,2,608,1
62730,15.6,976,27,32,27,4,4,1,0,-2593,0
65323,15.8,909,27,41,27,7,1,1,1,2593,1
65657,16.6,1091,25,34,31,3,2,1,1,-1067,0
66724,16.2,1063,31,35,25,4,3,1,0,1067,1
70078,16.4,1040,31,43,31,10,1,2,1,522,0
69556,16.8,1083,31,45,31,4,4,0,1,-522,1
69419,16.4,924,34,61,32,4,2,1,0,-266,0
69685,16.6,973,32,60,34,8,2,1,2,266,1
71742,16.4,936,39,67,39,7,3,2,1,-256,1
71998,16.2,1029,39,50,39,6,2,0,0,256,0
67860,16.2,1031,23,26,33,8,1,2,1,-3388,0
71248,16.4,1147,33,44,23,8,4,0,1,3388,1
71154,16.2,1048,42,41,34,8,3,1,0,29,0
71125,16.4,1024,34,35,42,6,3,1,2,-29,1
64639,16.2,937,25,32,35,2,2,0,1,-5840,0
70479,16.2,992,35,43,25,10,3,2,1,5840,1
63012,16.4,1040,30,25,26,5,1,1,0,-3428,1
66440,16.6,1007,26,48,30,5,4,1,2,3428,0
71018,16.6,923,39,63,32,9,3,0,1,1986,1
69032,16.0,986,32,36,39,7,2,2,1,-1986,0
72930,16.8,929,40,65,31,6,3,1,2,7211,1
65719,15.6,917,31,44,40,10,2,1,0,-7211,0
69551,16.0,959,34,50,37,7,3,0,1,304,1
69247,16.0,933,37,59,34,8,1,2,1,-304,0
74433,17.0,1100,36,54,34,8,2,2,1,3209,1
71224,16.6,1015,34,43,36,5,3,0,1,-3209,0
74207,17.4,895,45,52,40,5,3,2,1,3044,1
71163,16.6,983,40,40,45,6,2,0,1,-3044,0
64919,15.6,884,28,39,47,9,1,1,1,-6927,0
71846,17.2,923,47,57,28,6,4,1,1,6927,1
64084,15.2,952,29,38,33,6,2,1,0,-4386,0
68470,16.0,965,33,46,29,8,3,1,1,4386,1
72769,16.8,966,38,70,32,15,2,1,1,2767,1
70002,17.0,1029,32,74,38,2,2,1,1,-2767,0
59548,15.4,993,17,19,20,5,2,1,0,-6944,1
66492,15.8,956,20,35,17,7,3,1,2,6944,0
66571,16.0,814,42,50,41,6,2,1,0,-4364,0
70935,16.0,917,41,66,42,8,2,1,1,4364,1
71470,16.4,922,38,45,45,9,2,2,1,-948,0
72418,16.4,899,45,65,38,5,3,0,1,948,1
64775,15.4,910,27,49,21,10,3,1,1,420,0
64355,15.8,967,21,44,27,4,2,1,1,-420,1
70791,16.2,796,41,37,39,13,4,1,1,3758,1
67033,15.8,953,39,55,41,2,1,1,0,-3758,0
70404,17.2,1145,29,45,15,7,4,2,1,7412,1
62992,15.6,1084,15,15,29,10,2,0,1,-7412,0
