Gold,Level,Minions,Kills,Assists,Deaths,Towers,Dragons,Heralds,Barons,Gold_diff,Win
66345,15.8,945,30,46,36,9,2,1,1,-589,0
66934,16.0,899,36,53,30,9,3,1,1,589,1
68472,15.8,871,43,77,38,4,2,1,0,-948,0
69420,16.4,934,38,70,43,4,3,1,2,948,1
68855,16.4,834,38,59,42,12,3,0,1,3561,1
65294,15.2,918,42,44,38,4,2,2,0,-3561,0
62028,15.4,970,27,32,24,4,3,1,0,956,0
61072,15.2,885,24,33,27,4,1,1,1,-956,1
63587,16.2,1037,25,34,30,3,2,1,1,-1341,0
64928,16.0,1034,30,35,25,4,3,1,0,1341,1
68900,16.0,1019,31,43,30,10,1,2,1,1811,0
67089,16.4,1038,30,44,31,4,4,0,1,-1811,1
72271,16.6,976,41,73,36,7,3,1,1,4549,1
67722,15.2,984,36,33,41,8,2,1,1,-4549,0
67183,15.8,882,33,59,32,4,2,1,0,-1667,0
68850,16.6,965,32,60,33,8,2,1,2,1667,1
68172,15.6,895,36,60,39,7,3,2,1,-2631,1
70803,16.2,1006,39,50,36,6,2,0,0,2631,0
64792,15.6,987,22,25,33,8,1,2,1,-5177,0
69969,16.4,1125,33,44,22,8,4,0,1,5177,1
69314,16.0,1017,41,41,34,8,3,1,0,-776,0
70090,16.2,1002,34,35,41,6,2,1,2,776,1
62957,15.6,902,25,32,35,2,2,0,1,-5850,0
68807,16.2,949,35,43,25,10,3,2,1,5850,1
60230,16.2,1000,30,25,26,4,1,1,0,-4654,1
64884,16.4,981,26,48,30,5,4,1,2,4654,0
67670,15.8,871,37,58,31,9,2,0,1,845,1
66825,15.8,960,31,35,37,7,2,2,1,-845,0
68497,16.0,906,36,54,31,6,3,1,1,3542,1
64955,15.6,911,31,44,36,10,2,1,0,-3542,0
67915,16.0,942,33,48,34,7,3,0,1,2875,1
65040,15.6,898,34,53,33,7,1,2,1,-2875,0
73272,17.0,1077,36,54,34,8,2,2,1,3743,1
69529,16.6,976,34,43,36,5,3,0,1,-3743,0
59767,15.2,921,16,27,25,5,1,1,1,-4780,0
64547,16.6,996,25,37,16,8,4,1,1,4780,1
70041,16.4,903,39,46,24,13,2,2,1,7875,1
62166,15.8,860,24,40,39,3,2,0,1,-7875,0
70375,16.8,879,40,44,38,5,2,2,1,643,1
69732,16.0,976,38,40,40,6,2,0,1,-643,0
63660,15.4,864,28,39,45,8,1,1,1,-4819,0
68479,16.6,904,45,55,28,6,4,1,0,4819,1
61796,14.8,931,28,35,29,6,2,1,0,-3568,0
65364,15.8,951,29,39,28,5,3,1,1,3568,1
67123,15.6,890,32,44,49,5,1,0,0,-8529,0
75652,16.6,895,49,47,32,11,3,1,2,8529,1
69351,16.4,935,34,57,29,14,2,1,1,2078,1
67273,16.8,1003,29,64,34,2,2,1,1,-2078,0
57831,15.0,974,16,17,20,5,2,1,0,-5972,1
63803,15.6,926,20,35,16,4,3,1,2,5972,0
65106,16.0,798,41,50,39,6,2,1,0,-4000,0
69106,15.8,900,39,65,41,8,2,1,1,4000,1
70437,16.4,904,38,45,44,9,2,2,1,733,0
69704,16.2,864,44,64,38,5,3,0,1,-733,1
61970,15.4,905,27,31,39,8,2,0,0,-8736,0
70706,17.0,960,39,58,27,7,3,2,2,8736,1
63713,15.2,898,27,49,21,10,3,1,1,1072,0
62641,15.4,924,21,44,27,4,2,1,1,-1072,1
69189,16.0,769,41,37,39,13,4,1,1,3637,1
65552,15.8,921,39,55,41,2,1,1,0,-3637,0
67938,16.2,1020,28,36,35,5,2,1,2,-1694,0
69632,16.4,1054,35,54,28,6,3,1,0,1694,1
67684,16.0,930,37,63,32,6,2,0,1,-3346,0
71030,16.0,1057,32,44,37,7,2,2,1,3346,1
67623,16.6,1127,26,38,15,5,3,2,1,5533,1
62090,15.6,1073,15,15,26,10,2,0,1,-5533,0
