Gold,Level,Minions,Kills,Assists,Deaths,Towers,Dragons,Heralds,Barons,Gold_diff,Win
5995,3.4,71,1,1,2,0,0,0,0,-513,1
6508,3.2,78,2,2,1,0,0,0,0,513,0
6658,3.4,94,2,0,3,0,0,0,0,-403,0
7061,3.0,79,3,3,2,0,0,0,0,403,1
6946,3.2,88,3,2,1,0,0,0,0,1260,1
5686,3.0,72,1,0,3,0,0,0,0,-1260,0
6327,3.6,79,2,1,2,0,0,0,0,-328,1
6655,3.2,77,2,2,2,0,0,0,0,328,0
5684,3.4,87,0,0,1,0,0,0,0,-982,0
6666,3.6,107,1,1,0,0,0,0,0,982,1
6953,3.6,81,3,3,1,0,0,0,0,1072,0
5881,3.0,65,1,1,3,0,0,0,0,-1072,1
6119,3.0,79,1,1,1,0,0,0,0,-52,1
6171,3.2,90,1,1,1,0,0,0,0,52,0
6345,3.2,69,2,1,1,0,0,0,0,726,1
5619,3.0,59,1,0,2,0,0,0,0,-726,0
6103,3.2,66,2,1,1,0,0,0,0,298,1
5805,3.2,69,1,0,2,0,0,0,0,-298,0
6505,3.4,89,2,0,0,0,0,0,0,765,1
5740,3.4,75,0,0,2,0,0,0,0,-765,0
6571,3.4,98,1,1,0,0,0,0,0,867,0
5704,3.6,88,0,0,1,0,0,0,0,-867,1
6836,3.6,90,2,2,1,0,0,0,0,794,1
6042,3.2,74,1,1,2,0,0,0,0,-794,0
7025,3.0,71,4,5,1,0,0,0,0,786,0
6239,3.2,71,1,3,4,0,0,0,0,-786,1
6263,3.6,90,1,0,0,0,0,0,0,580,1
5683,3.4,88,0,0,1,0,0,0,0,-580,0
5856,3.6,82,1,0,1,0,0,0,0,-221,1
6077,3.4,85,1,0,1,0,0,0,0,221,0
7018,3.4,82,3,3,2,0,0,0,0,381,0
6637,3.2,82,2,2,3,0,0,0,0,-381,1
7203,3.6,83,4,2,4,0,0,0,0,74,0
7129,3.4,77,4,6,4,0,0,0,0,-74,1
5660,3.2,65,1,0,5,0,0,0,0,-1599,1
7259,3.2,72,5,4,1,0,0,0,0,1599,0
7082,3.4,94,2,3,0,0,0,0,0,1447,1
5635,3.6,81,0,0,2,0,0,0,0,-1447,0
6238,3.6,98,1,0,2,0,0,0,0,-578,0
6816,3.4,99,2,2,1,0,0,0,0,578,1
5918,3.6,88,0,0,0,0,0,0,0,150,1
5768,3.6,91,0,0,0,0,0,0,0,-150,0
6616,3.6,89,2,1,2,0,0,0,0,244,0
6372,3.2,72,2,1,2,0,0,0,0,-244,1
6662,3.6,83,2,2,2,0,0,0,0,80,1
6582,3.4,89,2,1,2,0,0,0,0,-80,0
5701,3.4,89,0,0,1,0,0,0,0,-901,1
6602,3.4,93,1,1,0,0,0,0,0,901,0
6537,3.2,67,3,4,2,0,0,0,0,357,1
6180,3.0,60,2,4,3,0,0,0,0,-357,0
6051,3.6,89,1,0,1,0,0,0,0,-47,0
6098,3.4,76,1,1,1,0,0,0,0,47,1
5776,3.2,89,0,0,1,0,0,0,0,-897,0
6673,3.6,109,1,1,0,0,0,0,0,897,1
7087,3.6,90,3,2,1,0,0,0,0,743,1
6344,3.2,80,1,1,3,0,0,0,0,-743,0
5709,3.2,68,1,0,2,0,0,0,0,-705,1
6414,3.6,87,2,1,1,0,0,0,0,705,0
5820,3.2,76,1,2,4,0,0,0,0,-1395,0
7215,3.4,83,4,4,1,0,0,0,0,1395,1
7257,3.4,85,3,2,3,0,0,0,0,514,0
6743,3.0,76,3,3,3,0,0,0,0,-514,1
6032,3.4,72,1,1,1,0,0,0,0,-462,1
6494,3.2,91,1,1,1,0,0,0,0,462,0
6378,3.6,88,1,0,0,0,0,0,0,338,1
6040,3.4,104,0,0,1,0,0,0,0,-338,0
5804,3.0,70,1,0,4,0,0,0,0,-1290,0
7094,3.2,67,4,3,1,0,0,0,0,1290,1
6563,3.6,90,1,1,1,0,0,0,0,207,0
6356,3.4,102,1,0,1,0,0,0,0,-207,1
6240,3.2,77,2,1,1,0,0,0,0,-15,0
6255,3.6,87,1,1,2,0,0,0,0,15,1
5932,3.4,80,1,0,3,0,0,0,0,-731,0
6663,3.4,67,3,5,1,0,0,0,0,731,1
6640,3.2,81,2,4,2,0,0,0,0,4,1
6636,3.4,86,2,2,2,0,0,0,0,-4,0
6375,3.0,62,3,1,3,0,0,0,0,-652,0
7027,3.4,80,3,2,3,0,0,0,0,652,1
5816,3.0,75,1,0,2,0,0,0,0,-570,0
6386,3.2,76,2,2,1,0,0,0,0,570,1
5816,3.0,75,1,0,2,0,0,0,0,-570,0
6386,3.2,76,2,2,1,0,0,0,0,570,1
8061,3.2,72,6,5,7,0,0,0,0,-340,0
8401,3.4,82,7,14,6,0,0,0,0,340,1
6015,3.0,69,2,2,4,0,0,0,0,-1560,0
7575,3.4,87,4,7,2,0,0,0,0,1560,1
5696,3.2,75,0,0,5,0,0,0,0,-2000,0
7696,3.4,71,5,4,0,0,0,0,0,2000,1
6675,3.4,76,2,4,2,0,0,0,0,127,1
6548,3.6,92,2,1,2,0,0,0,0,-127,0
7112,3.4,89,3,6,3,0,0,0,0,-185,1
7297,3.4,90,3,4,3,0,0,0,0,185,0
6202,3.2,73,2,3,3,0,0,0,0,-740,1
6942,3.4,88,3,2,2,0,0,0,0,740,0
6996,3.6,89,3,2,0,0,0,0,0,1735,0
5261,3.0,73,0,0,3,0,0,0,0,-1735,1
6548,3.4,84,2,2,1,0,0,0,0,223,1
6325,3.6,91,1,0,2,0,0,0,0,-223,0
