Gold,Level,Minions,Kills,Assists,Deaths,Towers,Dragons,Heralds,Barons,Gold_diff,Win
46329,12.6,649,22,33,16,6,3,0,0,6303,1
40026,12.6,638,16,19,22,1,0,2,1,-6303,0
46323,13.0,715,18,22,21,4,2,1,1,2703,0
43620,12.2,664,21,25,18,3,1,1,0,-2703,1
47575,12.2,544,31,46,25,5,3,1,0,1718,1
45857,12.0,572,25,44,31,3,0,1,0,-1718,0
41379,12.2,622,21,32,23,2,2,0,0,-6999,0
48378,13.4,727,23,33,21,3,1,2,1,6999,1
50168,12.6,633,28,39,25,6,2,1,1,6943,1
43225,11.6,573,25,36,28,2,0,0,0,-6943,0
53776,13.6,630,35,39,20,10,2,2,1,13031,1
40745,11.8,527,20,22,35,0,0,0,0,-13031,0
52228,12.8,660,33,25,29,11,2,1,0,4897,1
47331,12.4,558,29,24,33,4,1,1,0,-4897,0
50703,13.4,708,28,29,21,4,1,1,1,7001,1
43702,12.2,570,21,28,28,4,2,1,0,-7001,0
42173,12.0,580,19,23,33,1,0,1,0,-4624,0
46797,12.8,580,33,40,19,6,3,1,0,4624,1
45975,12.0,633,26,30,25,3,0,0,0,-2323,0
48298,12.4,679,25,31,26,4,2,2,0,2323,1
53575,13.0,716,37,54,12,9,2,1,0,17517,1
36058,11.0,545,12,17,37,1,1,1,0,-17517,0
44407,12.2,592,22,28,37,2,1,1,0,-9409,0
53816,13.6,680,37,52,22,6,2,1,1,9409,1
44953,12.2,610,27,39,24,2,2,1,0,-1043,0
45996,12.4,691,24,32,27,3,1,1,0,1043,1
42986,12.4,620,20,20,33,2,1,0,0,-4656,1
47642,12.6,692,33,30,20,4,2,2,0,4656,0
57337,13.8,767,34,29,17,9,3,2,1,15684,1
41653,12.0,581,17,28,34,2,0,0,0,-15684,0
45679,12.8,754,15,19,22,5,0,1,0,-2983,0
48662,13.8,817,22,34,15,4,3,1,1,2983,1
46846,13.6,737,19,18,15,4,3,0,1,4353,1
42493,12.4,715,15,16,19,4,1,2,0,-4353,0
47094,13.0,685,20,16,33,3,2,1,1,-5249,0
52343,13.4,733,33,36,20,6,1,1,0,5249,1
43838,13.2,690,24,17,21,3,0,2,0,742,1
43096,12.8,664,21,30,24,2,3,0,0,-742,0
52154,13.4,741,36,38,21,7,2,2,0,8650,1
43504,12.2,539,21,31,36,2,1,0,0,-8650,0
42822,12.0,668,17,25,35,1,0,0,0,-10584,0
53406,13.8,726,35,40,17,6,3,2,1,10584,1
45924,11.8,571,26,36,39,1,2,0,0,-8019,1
53943,12.4,638,39,49,26,9,1,2,1,8019,0
47129,12.0,580,28,50,39,2,1,0,0,-10061,0
57190,13.6,724,39,53,28,8,2,2,1,10061,1
44155,12.6,652,15,18,27,2,1,0,1,-5652,0
49807,12.6,706,27,29,15,8,2,2,0,5652,1
47783,12.6,619,33,44,19,4,1,1,0,3971,1
43812,12.0,634,19,27,33,3,2,1,0,-3971,0
46037,12.4,669,20,34,24,5,0,2,0,-923,0
46960,12.8,672,24,37,20,4,3,0,1,923,1
45733,12.8,664,22,14,23,5,1,2,1,604,0
45129,12.6,695,23,25,22,4,2,0,0,-604,1
50490,13.4,694,27,39,17,6,2,2,1,7946,1
42544,11.8,665,17,19,27,2,1,0,0,-7946,0
43707,12.8,669,21,16,16,4,2,0,1,-1865,0
45572,12.6,760,16,24,21,4,1,2,0,1865,1
44498,11.8,581,23,47,33,2,0,0,0,-11273,0
55771,13.6,757,33,30,23,8,3,2,1,11273,1
44498,11.8,581,23,47,33,2,0,0,0,-11273,0
55771,13.6,757,33,30,23,8,3,2,1,11273,1
46503,11.8,621,21,18,51,3,0,0,0,-15675,0
62178,13.8,728,51,49,21,10,3,2,1,15675,1
40366,11.8,600,16,22,28,2,1,0,0,-9816,0
50182,12.8,654,28,31,16,9,2,2,0,9816,1
45404,13.0,674,23,32,14,4,1,1,0,578,1
44826,12.0,758,14,12,23,4,2,1,0,-578,0
52813,13.2,666,33,42,28,4,0,0,1,5849,1
46964,12.0,635,28,43,33,3,3,2,0,-5849,0
48197,11.8,706,23,29,36,6,2,1,0,-4134,0
52331,13.6,670,36,42,23,4,1,1,1,4134,1
39242,11.6,704,12,15,26,1,1,1,0,-8883,0
48125,13.0,700,26,34,12,5,1,1,0,8883,1
39394,12.8,803,8,7,12,1,0,0,0,-2220,0
41614,13.0,808,12,13,8,2,3,2,0,2220,1
40908,12.2,627,15,21,26,2,1,0,0,-9765,0
50673,13.2,735,26,34,15,5,3,2,1,9765,1
45712,12.6,633,24,31,20,4,1,2,0,752,1
44960,12.0,687,20,28,24,3,2,0,0,-752,0
44149,12.8,719,18,25,12,3,2,2,1,5520,1
38629,12.0,698,12,12,18,1,0,0,0,-5520,0
41477,12.0,659,17,21,17,2,3,1,0,608,0
40869,11.6,604,17,22,17,3,0,1,0,-608,1
42110,12.4,747,16,22,21,2,1,1,0,-3731,0
45841,13.0,741,21,19,16,4,2,1,0,3731,1
46000,12.2,624,25,26,33,6,1,1,0,-2695,0
48695,13.0,567,33,47,25,4,2,1,1,2695,1
35570,11.6,648,6,9,12,1,0,1,0,-9250,0
44820,11.8,698,12,16,6,10,3,1,1,9250,1
50065,12.6,677,28,36,20,8,2,2,0,9421,1
40644,11.8,553,20,29,28,1,1,0,0,-9421,0
45455,11.8,677,17,31,26,3,0,1,0,-1771,0
47226,12.4,744,26,32,17,3,3,1,0,1771,1
44422,12.6,712,21,23,25,3,1,1,0,-5365,0
49787,13.4,705,25,38,21,4,1,1,1,5365,1
43854,12.0,578,20,27,40,3,0,1,0,-12303,0
56157,13.4,715,40,47,20,7,3,1,1,12303,1
37974,11.6,684,11,9,28,1,1,0,0,-12179,0
50153,13.6,756,28,26,11,9,2,2,1,12179,1
44792,12.4,666,19,24,25,2,2,2,0,-2285,0
47077,12.4,707,25,38,19,4,1,0,0,2285,1
46338,12.6,724,20,25,20,5,0,2,0,981,0
45357,12.6,732,20,23,20,3,3,0,0,-981,1
38802,12.0,653,12,23,21,0,0,0,0,-10789,0
49591,13.2,791,21,26,12,7,3,2,1,10789,1
47535,12.6,678,24,31,31,3,1,1,0,-49,1
47584,12.4,722,31,27,24,3,2,1,0,49,0
49272,13.0,580,31,40,27,3,2,0,1,1617,1
47655,12.2,608,27,33,31,3,1,1,0,-1617,0
48341,12.6,760,24,23,24,6,1,2,0,3301,0
45040,12.4,672,24,32,24,3,2,0,0,-3301,1
43153,12.2,663,16,31,16,2,1,1,0,1378,0
41775,12.6,732,16,24,16,1,2,1,0,-1378,1
44792,12.4,651,20,36,19,4,1,1,0,994,0
43798,12.2,667,19,23,20,3,2,1,1,-994,1
48016,12.6,658,26,25,32,2,0,1,0,-3620,0
51636,13.4,736,32,44,26,5,3,1,0,3620,1
46437,13.0,766,20,30,23,2,1,2,0,-1775,1
48212,13.4,693,23,28,20,5,3,0,1,1775,0
50619,12.6,688,27,26,28,4,2,1,0,1369,1
49250,13.0,637,28,36,27,3,1,1,1,-1369,0
43656,11.8,639,23,27,26,2,1,0,0,-4134,1
47790,12.6,677,26,30,23,4,2,2,0,4134,0
43373,12.2,707,20,35,13,2,2,0,0,-956,1
44329,12.6,725,13,8,20,5,1,2,1,956,0
42768,12.2,744,12,14,17,3,1,2,0,285,0
42483,12.8,637,17,32,12,1,2,0,1,-285,1
55433,13.6,677,42,51,15,9,2,2,1,14250,1
41183,11.6,604,15,10,42,2,1,0,0,-14250,0
42230,12.0,601,19,27,30,2,0,1,0,-9582,0
51812,13.4,739,30,42,19,7,3,1,1,9582,1
44497,12.8,683,21,39,16,2,1,1,0,-1226,0
45723,12.2,748,16,24,21,2,2,1,0,1226,1
47846,13.0,768,22,24,8,6,3,0,0,11246,1
36600,12.0,607,8,10,22,1,0,2,0,-11246,0
47549,12.4,626,26,42,26,4,2,2,0,-188,1
47737,12.6,703,26,30,26,3,1,0,0,188,0
48309,12.8,615,24,39,25,3,2,1,1,1318,1
46991,12.2,677,25,34,24,4,1,1,0,-1318,0
41269,12.2,724,14,20,20,3,1,1,0,-4489,0
45758,13.8,779,20,26,14,3,2,0,1,4489,1
44563,12.6,764,15,16,18,4,1,2,0,-216,0
44779,13.0,770,18,16,15,4,2,0,0,216,1
36456,11.6,671,11,17,17,1,1,0,0,-12184,0
48640,13.4,726,17,21,11,11,1,2,1,12184,1
49374,13.0,751,28,24,20,6,1,1,0,2970,0
46404,13.2,672,20,19,28,3,2,1,1,-2970,1
43771,12.0,615,19,23,32,1,0,0,0,-7254,0
51025,13.0,591,32,56,19,8,3,2,1,7254,1
42485,12.0,692,16,20,28,2,0,1,0,-8740,0
51225,13.4,726,28,44,16,6,4,1,1,8740,1
49907,13.2,624,23,41,16,6,3,2,1,7478,1
42429,12.0,674,16,21,23,3,0,0,0,-7478,0
51687,13.8,688,33,44,20,4,2,2,1,8770,1
42917,12.0,725,20,20,33,3,1,0,0,-8770,0
49599,12.8,649,31,29,30,4,2,2,0,-1756,0
51355,13.8,714,30,38,31,4,1,0,1,1756,1
44973,12.4,792,16,17,15,5,1,0,0,1493,0
43480,13.2,715,15,27,16,1,2,2,1,-1493,1
49626,12.6,793,23,22,14,5,2,2,0,7090,1
42536,12.2,726,14,17,23,3,1,0,0,-7090,0
43632,11.8,653,15,23,13,5,1,2,0,2695,1
40937,12.2,656,13,15,15,2,2,0,1,-2695,0
40592,11.8,611,13,13,24,1,1,0,1,-6299,0
46891,12.8,692,24,33,13,3,2,2,0,6299,1
42111,11.6,655,19,28,19,1,1,1,0,-4881,0
46992,13.0,704,19,32,19,4,2,1,1,4881,1
46085,12.6,719,23,34,22,4,1,1,0,4411,1
41674,12.6,599,22,23,23,1,2,1,0,-4411,0
47150,13.2,682,24,27,21,2,1,0,1,1196,1
45954,12.4,743,21,26,24,4,2,2,0,-1196,0
46008,12.4,523,33,62,27,2,2,1,0,-2600,1
48608,12.4,580,27,51,33,3,1,1,1,2600,0
48469,12.6,723,21,26,31,3,2,1,0,-2088,1
50557,13.2,719,31,39,21,6,1,1,1,2088,0
54699,13.2,661,34,41,24,9,1,1,1,9849,1
44850,11.8,568,24,35,34,3,2,1,0,-9849,0
54884,13.8,739,33,30,14,10,2,2,1,12198,1
42686,12.4,650,14,15,33,5,0,0,0,-12198,0
52512,13.6,705,33,26,29,7,1,1,1,7480,1
45032,12.2,630,29,33,33,2,1,1,0,-7480,0
50874,13.6,774,28,38,11,6,2,1,0,13006,1
37868,11.8,602,11,17,28,0,1,1,0,-13006,0
51764,13.4,760,25,35,16,9,3,1,1,11235,1
40529,12.4,648,16,17,25,2,0,1,0,-11235,0
35487,12.0,646,9,8,26,0,0,0,0,-11331,0
46818,13.0,760,26,23,9,5,3,2,0,11331,1
40596,12.8,743,16,13,17,2,1,1,0,-2699,1
43295,12.8,692,17,31,16,3,3,1,0,2699,0
49474,13.2,669,24,38,26,6,2,1,1,3277,1
46197,12.2,667,26,28,24,5,2,1,0,-3277,0
37509,11.4,613,9,16,38,0,0,1,0,-19762,0
57271,13.4,727,38,60,9,11,3,1,0,19762,1
47884,12.6,723,27,39,21,4,3,2,0,4788,1
43096,12.2,659,21,27,27,2,0,0,0,-4788,0
