Gold,Level,Minions,Kills,Assists,Deaths,Towers,Dragons,Heralds,Barons,Gold_diff,Win
18066,7.4,299,6,5,6,0,1,0,0,-224,1
18290,7.4,331,6,4,6,0,0,1,0,224,0
18360,7.6,371,5,0,5,0,1,0,0,-336,0
18696,7.4,322,5,5,5,0,0,1,0,336,1
19672,7.6,352,7,2,5,1,1,1,0,1803,1
17869,7.2,322,5,3,7,0,0,0,0,-1803,0
20750,7.6,285,12,11,9,0,1,0,0,437,1
20313,7.4,299,9,8,12,0,0,1,0,-437,0
17845,7.4,279,8,8,7,0,0,0,0,-1388,0
19233,7.6,340,7,5,8,0,0,0,0,1388,1
19986,7.4,325,8,11,9,0,0,0,0,1008,1
18978,7.2,310,9,7,8,0,0,0,0,-1008,0
21607,7.4,282,13,11,11,0,0,0,0,2099,1
19508,7.2,256,11,10,13,0,0,0,0,-2099,0
21045,7.2,247,15,12,10,0,1,0,0,225,1
20820,7.4,260,10,4,15,0,0,0,0,-225,0
20256,7.6,317,11,9,9,0,0,1,0,-1016,1
21272,7.4,285,9,11,11,1,1,0,0,1016,0
19116,7.6,306,7,8,9,0,0,1,0,379,0
18737,7.4,288,9,6,7,0,1,0,0,-379,1
22679,7.4,344,10,12,9,0,1,1,0,4140,1
18539,7.4,246,9,15,10,0,0,0,0,-4140,0
20688,7.2,277,12,12,6,0,0,0,0,2264,0
18424,7.0,297,6,5,12,0,0,1,0,-2264,1
20443,8.0,325,12,8,5,0,0,0,0,3883,1
16560,7.0,282,5,3,12,0,1,0,0,-3883,0
21615,7.8,361,11,11,3,0,1,1,0,5504,1
16111,7.4,304,3,2,11,0,1,0,0,-5504,0
19547,7.2,302,9,8,13,0,0,1,0,-2493,0
22040,7.6,307,13,17,9,0,1,0,0,2493,1
19999,7.4,278,12,14,8,0,1,0,0,640,0
19359,7.4,313,8,12,12,0,0,0,0,-640,1
18781,7.4,283,8,8,16,0,1,0,0,-2978,1
21759,7.6,312,16,16,8,0,0,1,0,2978,0
24152,7.8,328,16,15,5,0,1,0,0,7202,1
16950,7.2,265,5,4,16,0,0,0,0,-7202,0
18386,7.6,331,6,8,9,0,0,0,0,-1558,0
19944,7.8,358,9,8,6,0,1,1,0,1558,1
18198,7.4,323,5,3,6,0,0,0,0,747,1
17451,7.4,321,6,2,5,0,1,1,0,-747,0
19294,7.2,305,7,6,13,1,1,0,0,-2359,0
21653,7.4,295,13,12,7,0,0,0,0,2359,1
22692,7.8,313,13,9,6,1,0,1,0,4502,1
18190,7.2,303,6,4,13,0,1,0,0,-4502,0
16668,7.2,323,4,1,7,0,0,0,0,-2691,1
19359,7.6,323,7,9,4,0,0,0,0,2691,0
19561,7.4,328,9,8,8,0,0,0,0,1433,1
18128,7.0,250,8,8,9,0,1,0,0,-1433,0
17569,7.0,307,5,7,10,0,0,0,0,-3277,0
20846,7.4,328,10,12,5,0,1,1,0,3277,1
21944,7.8,344,14,14,6,0,1,1,0,4282,1
17662,7.2,277,6,4,14,0,0,0,0,-4282,0
20479,6.8,287,12,19,12,0,1,0,0,-489,1
20968,7.6,297,12,14,12,0,0,1,0,489,0
20687,7.4,290,12,15,15,0,0,0,0,-2250,0
22937,7.6,333,15,12,12,0,1,1,0,2250,1
18643,7.6,320,6,4,8,0,0,0,0,-2055,0
20698,7.8,337,8,10,6,0,1,1,0,2055,1
19654,7.2,283,7,5,6,1,0,0,0,1682,1
17972,7.2,302,6,7,7,0,1,0,0,-1682,0
21551,7.6,307,9,8,6,1,0,0,0,3783,1
17768,7.0,298,6,5,9,0,1,1,0,-3783,0
19363,7.6,328,5,4,7,0,0,1,0,10,0
19353,7.8,352,7,9,5,0,1,0,0,-10,1
19887,7.6,317,10,7,6,0,0,1,0,1746,0
18141,7.6,301,6,4,10,0,1,0,0,-1746,1
20119,7.6,322,9,4,10,1,0,1,0,320,0
19799,7.8,321,10,12,9,0,1,0,0,-320,1
20734,7.8,334,9,10,8,0,1,0,0,1449,1
19285,7.0,306,8,8,9,0,0,0,0,-1449,0
17128,7.2,288,7,3,3,0,0,0,0,-486,0
17614,7.2,347,3,2,7,0,0,0,0,486,1
19503,7.4,272,10,11,14,0,0,0,0,-5005,0
24508,8.0,359,14,11,10,1,1,1,0,5005,1
19503,7.4,272,10,11,14,0,0,0,0,-5005,0
24508,8.0,359,14,11,10,1,1,1,0,5005,1
22006,7.0,276,14,10,22,0,0,0,0,-3585,0
25591,7.6,297,22,31,14,0,1,0,0,3585,1
18035,7.0,288,8,10,11,0,0,0,0,-2636,0
20671,7.2,309,11,14,8,0,1,0,0,2636,1
18390,7.2,268,6,1,18,0,0,0,0,-4950,0
23340,7.6,266,18,11,6,1,0,1,0,4950,1
18581,7.6,302,7,11,7,0,0,0,0,-1581,1
20162,7.8,350,7,5,7,0,1,1,0,1581,0
