Gold,Level,Minions,Kills,Assists,Deaths,Towers,Dragons,Heralds,Barons,Gold_diff,Win
22234,8.2,364,8,7,7,0,1,0,0,734,1
21500,8.2,391,7,4,8,0,0,1,0,-734,0
21189,8.6,428,6,0,10,0,1,0,0,-3492,0
24681,8.4,378,10,13,6,1,0,1,0,3492,1
23773,8.4,413,9,7,6,1,1,1,0,1768,1
22005,8.2,381,6,5,9,0,0,0,0,-1768,0
26602,8.4,338,17,20,12,1,1,0,0,346,1
26256,8.2,354,12,16,17,1,0,1,0,-346,0
21912,8.4,349,10,12,9,0,1,0,0,-1433,0
23345,8.4,410,9,6,10,0,0,1,0,1433,1
24745,8.0,358,12,15,13,0,0,0,0,958,1
23787,7.8,338,13,16,12,0,0,0,0,-958,0
26576,8.6,349,17,13,12,0,1,0,0,3796,1
22780,8.0,298,12,11,17,0,0,0,0,-3796,0
25716,8.4,313,18,14,12,0,1,1,0,1442,1
24274,8.2,306,12,5,18,0,0,0,0,-1442,0
25665,8.6,382,13,11,10,1,0,1,0,633,1
25032,8.4,344,10,12,13,1,1,0,0,-633,0
22772,8.4,364,8,9,11,0,0,1,0,421,0
22351,8.6,338,11,9,8,0,1,0,0,-421,1
27158,8.4,412,12,14,10,1,2,1,0,5792,1
21366,8.0,284,10,17,12,0,0,0,0,-5792,0
24851,8.0,331,15,14,10,0,0,0,0,1387,0
23464,8.2,353,10,10,15,0,1,1,0,-1387,1
26157,8.6,387,13,9,9,2,0,1,0,4898,1
21259,8.2,330,9,6,13,0,1,0,0,-4898,0
25469,8.6,399,14,16,7,0,1,1,0,4203,1
21266,8.2,350,7,6,14,0,1,0,0,-4203,0
24546,8.2,339,11,11,16,1,0,1,0,-2752,0
27298,8.4,368,16,20,11,1,1,0,0,2752,1
23475,8.4,344,14,15,10,0,1,0,0,-95,0
23570,8.4,384,10,13,14,0,0,1,0,95,1
22146,8.0,334,9,10,17,0,1,0,0,-2578,1
24724,8.0,362,17,16,9,0,0,1,0,2578,0
