Gold,Level,Minions,Kills,Assists,Deaths,Towers,Dragons,Heralds,Barons,Gold_diff,Win
12448,5.8,195,3,3,4,0,0,0,0,58,1
12390,5.6,208,4,2,3,0,0,0,0,-58,0
13265,6.0,254,4,0,4,0,0,0,0,84,0
13181,5.8,217,4,4,4,0,0,0,0,-84,1
13784,6.0,248,5,2,2,0,0,0,0,1869,1
11915,5.8,212,2,0,5,0,0,0,0,-1869,0
14824,6.2,186,9,8,5,0,0,0,0,1546,1
13278,5.8,194,5,5,9,0,0,0,0,-1546,0
12510,5.4,174,5,7,6,0,0,0,0,-1428,0
13938,6.2,229,6,4,5,0,0,0,0,1428,1
12644,5.6,202,4,4,4,0,0,0,0,-510,0
13154,5.6,210,4,6,4,0,0,0,0,510,1
13233,5.8,222,4,6,4,0,0,0,0,634,1
12599,5.8,216,4,3,4,0,0,0,0,-634,0
14245,6.0,186,7,5,8,0,0,0,0,117,1
14128,5.8,176,8,7,7,0,0,0,0,-117,0
14162,5.8,173,8,8,4,0,0,0,0,1944,1
12218,5.8,171,4,0,8,0,0,0,0,-1944,0
14217,5.8,210,7,7,4,0,0,0,0,1336,1
12881,6.2,184,4,4,7,0,0,0,0,-1336,0
12704,6.0,220,3,4,3,0,0,0,0,665,0
12039,6.0,216,3,2,3,0,0,0,0,-665,1
14914,6.0,240,6,7,5,0,1,0,0,1996,1
12918,5.6,171,5,8,6,0,0,0,0,-1996,0
15026,6.0,200,9,9,3,0,0,0,0,2548,0
12478,5.6,200,3,4,9,0,0,0,0,-2548,1
13303,6.2,229,5,3,3,0,0,0,0,1556,1
11747,5.8,199,3,0,5,0,1,0,0,-1556,0
14699,6.4,226,8,7,2,0,0,0,0,2821,1
11878,5.8,212,2,2,8,0,1,0,0,-2821,0
13449,6.2,216,6,4,7,0,0,0,0,-851,0
14300,5.8,207,7,10,6,0,1,0,0,851,1
13797,5.6,183,7,7,6,0,0,0,0,-37,0
13834,5.8,203,6,10,7,0,0,0,0,37,1
13970,5.6,181,7,6,12,0,1,0,0,-1127,1
15097,5.8,194,12,12,7,0,0,0,0,1127,0
17459,6.4,235,10,12,3,0,0,0,0,6056,1
11403,5.8,170,3,2,10,0,0,0,0,-6056,0
12763,6.2,231,3,2,4,0,0,0,0,-183,0
12946,6.2,246,4,2,3,0,1,0,0,183,1
13055,6.0,234,3,3,2,0,0,0,0,808,1
12247,6.0,231,2,1,3,0,1,0,0,-808,0
14359,6.2,218,7,6,6,0,1,0,0,575,0
13784,5.6,205,6,4,7,0,0,0,0,-575,1
13857,6.0,211,6,3,4,0,0,0,0,1010,1
12847,5.8,217,4,2,6,0,0,0,0,-1010,0
12320,5.8,228,3,1,4,0,0,0,0,-1447,1
13767,6.0,218,4,5,3,0,0,0,0,1447,0
13360,5.8,214,5,5,3,0,0,0,0,1484,1
11876,5.4,168,3,6,5,0,0,0,0,-1484,0
12064,6.0,227,2,1,6,0,1,0,0,-1618,0
13682,5.8,207,6,8,2,0,0,0,0,1618,1
12315,5.6,209,3,4,8,0,0,0,0,-2563,0
14878,6.2,226,8,8,3,0,0,0,0,2563,1
15191,6.0,229,9,8,4,0,0,0,0,2533,1
12658,5.8,205,4,2,9,0,0,0,0,-2533,0
14573,6.0,208,7,11,5,0,0,0,0,1845,1
12728,5.4,198,5,3,7,0,0,0,0,-1845,0
14984,5.8,195,8,11,10,0,0,0,0,-590,0
15574,6.0,229,10,8,8,0,1,0,0,590,1
13386,5.8,213,4,2,6,0,0,0,0,-845,0
14231,6.0,221,6,8,4,0,1,0,0,845,1
12434,6.2,200,3,3,4,0,0,0,0,-1004,1
13438,5.8,218,4,6,3,0,0,0,0,1004,0
14091,5.8,210,5,4,4,0,0,0,0,747,1
13344,6.2,236,4,3,5,0,1,0,0,-747,0
12768,6.0,219,2,2,6,0,0,0,0,-1673,0
14441,6.2,240,6,8,2,0,1,0,0,1673,1
13960,5.8,207,7,5,2,0,0,0,0,2277,0
11683,5.8,206,2,1,7,0,1,0,0,-2277,1
14393,5.8,222,7,4,7,0,0,0,0,770,0
13623,5.8,198,7,9,7,0,1,0,0,-770,1
13102,5.8,227,4,4,7,0,1,0,0,-1233,1
14335,5.8,216,7,7,4,0,0,0,0,1233,0
12024,5.6,178,4,2,3,0,0,0,0,-1014,0
13038,6.0,231,3,2,4,0,0,0,0,1014,1
13083,6.0,191,5,5,5,0,0,0,0,-1355,0
14438,6.2,251,5,4,5,0,1,0,0,1355,1
13083,6.0,191,5,5,5,0,0,0,0,-1355,0
14438,6.2,251,5,4,5,0,1,0,0,1355,1
15606,5.6,191,10,8,12,0,0,0,0,-871,0
16477,6.0,201,12,21,10,0,0,0,0,871,1
12358,5.4,187,5,4,7,0,0,0,0,-2302,0
14660,5.4,205,7,10,5,0,0,0,0,2302,1
13019,5.8,175,4,0,12,0,0,0,0,-3043,0
16062,5.8,177,12,10,4,0,0,0,0,3043,1
13576,5.8,202,5,8,4,0,0,0,0,516,1
13060,6.2,239,4,1,5,0,0,0,0,-516,0
15342,5.8,233,8,10,5,0,0,0,0,1568,1
13774,5.8,208,5,8,8,0,0,0,0,-1568,0
13369,5.8,211,6,6,10,0,0,0,0,-1840,1
15209,5.8,198,10,14,6,0,1,0,0,1840,0
15034,6.0,231,8,5,8,0,0,0,0,1352,0
13682,5.6,187,8,4,8,0,0,0,0,-1352,1
13773,6.4,234,5,4,1,0,1,0,0,2061,1
11712,5.8,218,1,0,5,0,0,0,0,-2061,0
12937,5.8,180,6,2,5,0,0,0,0,55,1
12882,6.0,200,5,4,6,0,0,0,0,-55,0
13859,6.0,238,4,4,3,0,0,0,0,371,0
13488,6.0,228,3,5,4,0,0,0,0,-371,1
12045,6.2,244,0,0,2,0,0,0,0,-480,0
12525,6.0,243,2,3,0,0,1,0,0,480,1
11899,5.6,182,3,2,6,0,0,0,0,-1808,0
13707,5.8,213,6,4,3,0,1,0,0,1808,1
12815,6.0,212,3,5,5,0,0,0,0,-872,1
13687,6.2,233,5,5,3,0,0,0,0,872,0
15204,6.2,213,9,12,4,0,0,0,0,2457,1
12747,5.4,195,4,4,9,0,0,0,0,-2457,0
11927,5.8,219,1,2,2,0,0,0,0,-49,0
11976,5.8,206,2,2,1,0,0,0,0,49,1
15174,5.6,209,8,9,5,0,0,0,0,1318,1
13856,5.8,233,5,4,8,0,0,0,0,-1318,0
12940,6.2,230,4,5,3,0,1,0,0,103,0
12837,6.0,219,3,1,4,0,0,0,0,-103,1
12362,5.8,218,2,2,5,0,0,0,0,-575,0
12937,6.0,204,5,2,2,0,0,0,0,575,1
11812,6.0,219,1,2,3,0,0,0,0,-716,0
12528,6.0,228,3,2,1,0,0,0,0,716,1
13755,6.0,237,4,5,4,0,0,0,0,1468,1
12287,5.4,176,4,8,4,0,0,0,0,-1468,0
13056,6.0,238,4,2,8,0,0,0,0,-3137,0
16193,6.2,221,8,13,4,1,0,0,0,3137,1
13386,6.0,214,4,6,4,0,0,0,0,439,0
12947,5.8,219,4,6,4,0,1,0,0,-439,1
14640,6.2,234,6,6,4,0,0,0,0,954,1
13686,5.8,219,4,3,6,0,1,0,0,-954,0
15243,6.0,237,8,11,4,0,0,0,0,1923,0
13320,5.8,216,4,4,8,0,0,0,0,-1923,1
12488,5.6,178,5,5,16,0,0,0,0,-5794,0
18282,6.2,215,16,14,5,0,0,0,0,5794,1
12922,5.8,206,5,4,5,0,0,0,0,-751,0
13673,6.0,227,5,6,5,0,1,0,0,751,1
14844,6.0,243,6,7,1,0,0,0,0,2414,1
12430,5.8,228,1,2,6,0,1,0,0,-2414,0
13247,5.8,185,6,9,2,0,1,0,0,1719,1
11528,5.8,207,2,0,6,0,0,0,0,-1719,0
12422,5.8,188,3,1,11,0,0,0,0,-3767,0
16189,6.0,188,11,16,3,0,0,0,0,3767,1
11905,6.0,238,1,0,2,0,0,0,0,-84,0
11989,6.0,234,2,0,1,0,0,0,0,84,1
11941,5.8,205,3,0,6,0,0,0,0,-1956,0
13897,5.8,224,6,6,3,0,0,0,0,1956,1
15231,6.2,252,7,5,2,0,0,0,0,3233,1
11998,5.8,217,2,3,7,0,0,0,0,-3233,0
14401,6.0,233,7,8,3,0,0,0,0,1449,0
12952,6.0,231,3,3,7,0,0,0,0,-1449,1
12782,5.8,204,4,4,7,0,0,0,0,-1845,0
14627,6.0,225,7,9,4,0,0,0,0,1845,1
11425,6.0,225,0,0,2,0,0,0,0,-568,0
11993,5.8,226,2,1,0,0,1,0,0,568,1
15440,6.0,190,8,10,9,0,1,0,0,408,1
15032,5.8,217,9,7,8,0,0,0,0,-408,0
15315,5.8,194,10,14,6,0,0,0,0,1508,1
13807,5.8,196,6,10,10,0,0,0,0,-1508,0
14384,5.4,180,8,10,6,0,0,0,0,416,1
13968,5.6,202,6,5,8,0,0,0,0,-416,0
15796,6.2,262,8,8,5,0,1,0,0,2733,0
13063,6.0,218,5,5,8,0,0,0,0,-2733,1
12398,5.8,238,1,0,2,0,0,0,0,109,0
12289,6.2,241,2,1,1,0,0,0,0,-109,1
11162,5.8,203,0,0,3,0,0,0,0,-1425,0
12587,6.0,201,3,1,0,0,0,0,0,1425,1
12872,6.0,215,3,2,8,0,0,0,0,-1338,0
14210,5.6,212,8,8,3,0,1,0,0,1338,1
14658,6.0,234,7,6,3,0,0,0,0,1570,0
13088,6.0,242,3,3,7,0,0,0,0,-1570,1
13441,6.0,226,4,3,2,0,0,0,0,1989,1
11452,5.8,193,2,2,4,0,1,0,0,-1989,0
15271,6.2,232,5,7,7,0,0,0,0,689,1
14582,6.0,208,7,5,5,0,0,0,0,-689,0
13955,6.0,218,6,7,4,0,0,0,0,1117,1
12838,6.0,212,4,4,6,0,0,0,0,-1117,0
15472,6.0,236,7,10,2,0,0,0,0,3511,1
11961,5.6,213,2,2,7,0,0,0,0,-3511,0
12804,5.8,229,3,0,3,0,0,0,0,1050,0
11754,5.4,160,3,3,3,0,0,0,0,-1050,1
13939,5.6,192,7,13,3,0,0,0,0,1765,1
12174,5.6,187,3,3,7,0,1,0,0,-1765,0
14215,5.8,203,9,6,11,0,0,0,0,-1938,0
16153,5.8,199,11,14,9,0,0,0,0,1938,1
14881,5.6,203,8,12,6,0,0,0,0,847,0
14034,6.0,223,6,5,8,0,0,0,0,-847,1
12730,5.6,171,5,4,10,0,0,0,0,-2920,0
15650,6.2,219,10,9,5,0,0,0,0,2920,1
13048,6.0,207,4,7,7,0,0,0,0,-2767,0
15815,6.0,231,7,11,4,0,1,0,0,2767,1
13657,6.0,227,4,4,1,0,0,0,0,1995,1
11662,5.8,222,1,1,4,0,0,0,0,-1995,0
14275,6.0,209,6,10,4,0,1,0,0,363,1
13912,6.0,246,4,8,6,0,0,0,0,-363,0
13444,5.8,204,7,5,4,0,0,0,0,590,1
12854,5.6,206,4,3,7,0,0,0,0,-590,0
14639,6.0,209,7,10,6,0,1,0,0,1051,1
13588,5.8,220,6,5,7,0,0,0,0,-1051,0
13493,5.4,165,6,9,5,0,0,0,0,354,0
13139,5.6,207,5,8,6,0,0,0,0,-354,1
14887,6.0,216,8,13,7,0,0,0,0,1006,0
13881,6.0,212,7,7,8,0,0,0,0,-1006,1
13773,6.0,224,5,4,4,0,0,0,0,1258,1
12515,5.8,199,4,3,5,0,0,0,0,-1258,0
13630,5.8,207,5,5,5,0,0,0,0,248,0
13382,6.2,218,5,3,5,0,0,0,0,-248,1
13102,5.6,164,7,8,6,0,0,0,0,-492,0
13594,5.6,199,6,10,7,0,0,0,0,492,1
12166,5.8,189,4,3,0,0,0,0,0,367,0
11799,6.0,218,0,0,4,0,0,0,0,-367,1
15175,6.2,243,7,8,3,0,0,0,0,2606,0
12569,6.0,232,3,2,7,0,1,0,0,-2606,1
13691,5.8,184,7,10,8,0,0,0,0,-644,0
14335,5.4,204,8,11,7,0,1,0,0,644,1
13481,5.6,182,7,6,5,0,0,0,0,-716,0
14197,5.6,225,5,9,7,0,0,0,0,716,1
