Gold,Level,Minions,Kills,Assists,Deaths,Towers,Dragons,Heralds,Barons,Gold_diff,Win
36229,11.0,544,15,19,12,3,2,0,0,5551,1
30678,10.4,539,12,7,15,0,0,2,0,-5551,0
35166,10.8,607,11,10,18,3,2,1,0,-2533,0
37699,11.0,579,18,22,11,3,1,1,0,2533,1
40754,11.2,616,22,26,8,8,2,2,0,8174,1
32580,10.2,532,8,9,22,2,0,0,0,-8174,0
39871,11.0,470,26,42,19,3,2,1,0,1905,1
37966,10.6,492,19,31,26,2,0,1,0,-1905,0
35801,11.2,542,20,28,15,1,2,0,0,-1082,0
36883,11.2,610,15,13,20,2,0,1,0,1082,1
39631,10.6,533,22,29,22,3,2,1,0,3106,1
36525,10.2,466,22,31,22,2,0,0,0,-3106,0
41862,11.2,532,28,26,16,3,2,1,0,8393,1
33469,10.4,435,16,16,28,0,0,0,0,-8393,0
38892,10.6,507,25,18,26,3,2,1,0,-2693,1
41585,11.4,481,26,21,25,4,0,1,0,2693,0
41171,11.4,588,23,20,17,4,0,1,0,4904,1
36267,10.8,491,17,23,23,2,2,1,0,-4904,0
35449,10.6,491,15,18,25,1,0,1,0,-1669,0
37118,11.4,498,25,22,15,2,2,1,0,1669,1
37507,10.6,529,19,20,17,3,0,0,0,-375,0
37882,11.2,570,17,20,19,2,2,2,0,375,1
40840,11.2,563,25,31,13,6,0,1,0,10566,1
30274,10.2,461,13,13,25,0,2,0,0,-10566,0
40567,11.2,610,25,27,11,3,2,1,0,9932,1
30635,10.4,466,11,15,25,0,1,1,0,-9932,0
36468,10.6,504,18,23,26,1,1,1,0,-5445,0
41913,11.2,562,26,36,18,3,2,1,0,5445,1
35890,10.6,508,22,30,20,0,2,0,0,-3113,0
39003,11.4,570,20,27,22,3,0,1,0,3113,1
35708,10.6,506,16,17,27,2,1,0,0,-3207,1
38915,10.8,561,27,24,16,3,2,2,0,3207,0
45305,11.4,616,29,21,15,5,2,1,0,10084,1
35221,10.6,465,15,22,29,2,0,0,0,-10084,0
37595,11.4,625,15,19,17,2,0,1,0,120,0
37475,11.6,662,17,19,15,2,3,1,0,-120,1
36414,11.0,610,14,12,11,3,2,0,0,3423,1
32991,10.8,597,11,9,14,1,1,2,0,-3423,0
35854,11.0,587,14,11,25,2,2,1,0,-5754,0
41608,11.6,597,25,22,14,4,1,1,0,5754,1
34426,11.2,567,15,7,14,2,0,2,0,-445,1
34871,11.0,566,14,21,15,2,2,0,0,445,0
