Gold,Level,Minions,Kills,Assists,Deaths,Plates,Towers,Dragons,Heralds,Barons,Sight_wards,Control_wards,Gold_diff,Win
6716,3.4,78,2,3,0,0,0,0,0,0,4,0,1495,0
5221,3.2,66,0,0,2,0,0,0,0,0,3,0,-1495,1
5586,3.2,60,1,0,2,0,0,0,0,0,3,0,-745,0
6331,3.4,74,2,1,1,0,0,0,0,0,6,0,745,1
5505,3.6,74,0,0,0,0,0,0,0,0,6,0,-238,0
5743,3.6,80,0,0,0,0,0,0,0,0,4,0,238,1
6082,3.6,84,1,1,3,0,0,0,0,0,3,0,-434,1
6516,3.4,62,3,1,1,0,0,0,0,0,1,0,434,0
5383,3.2,62,0,0,2,0,0,0,0,0,4,0,-796,0
6179,3.4,74,2,0,0,0,0,0,0,0,3,0,796,1
6244,3.0,66,2,1,3,0,0,0,0,0,4,1,-553,1
6797,3.4,75,3,2,2,0,0,0,0,0,5,0,553,0
6198,3.4,71,2,4,4,0,0,0,0,0,4,0,-1054,0
7252,3.4,80,4,4,2,0,0,0,0,0,5,0,1054,1
5813,3.2,68,1,0,1,0,0,0,0,0,5,0,-134,1
5947,3.4,73,1,1,1,0,0,0,0,0,3,0,134,0
5962,3.2,68,1,1,3,0,0,0,0,0,2,0,-690,0
6652,3.6,75,3,0,1,0,0,0,0,0,3,0,690,1
5785,3.4,66,0,0,1,0,0,0,0,0,4,0,111,1
5674,3.0,57,1,3,0,0,0,0,0,0,2,1,-111,0
6761,3.6,79,3,1,0,0,0,0,0,0,4,0,1561,1
5200,3.2,60,0,0,3,0,0,0,0,0,3,0,-1561,0
5176,3.2,64,0,0,2,0,0,0,0,0,3,0,-1045,0
6221,3.6,79,2,0,0,0,0,0,0,0,4,0,1045,1
6587,3.4,84,2,1,1,0,0,0,0,0,4,0,504,0
6083,3.4,87,1,0,2,0,0,0,0,0,3,0,-504,1
6759,3.6,91,2,2,1,0,0,0,0,0,2,0,821,1
5938,3.4,76,1,4,2,0,0,0,0,0,4,1,-821,0
6733,3.4,62,4,3,3,0,0,0,0,0,4,0,343,0
6390,3.0,52,3,2,4,0,0,0,0,0,2,0,-343,1
5703,3.0,69,1,0,2,0,0,0,0,0,2,0,-379,0
6082,3.2,60,2,1,1,0,0,0,0,0,2,0,379,1
6413,3.2,70,2,1,1,0,0,0,0,0,4,1,609,1
5804,3.4,73,1,1,2,0,0,0,0,0,5,0,-609,0
6164,3.6,79,1,1,0,0,0,0,0,0,2,0,525,0
5639,3.4,78,0,0,1,0,0,0,0,0,5,0,-525,1
6176,3.4,67,2,1,0,0,0,0,0,0,4,0,938,1
5238,3.2,63,0,0,2,0,0,0,0,0,5,0,-938,0
5452,3.6,79,0,0,0,0,0,0,0,0,4,0,23,1
5429,3.2,73,0,0,0,0,0,0,0,0,5,0,-23,0
6755,3.6,81,3,1,0,0,0,0,0,0,6,0,1294,0
5461,3.6,77,0,0,3,0,0,0,0,0,3,0,-1294,1
6441,3.6,91,1,1,1,0,0,0,0,0,3,0,282,1
6159,3.6,80,1,1,1,0,0,0,0,0,5,0,-282,0
6229,3.6,72,2,0,0,0,0,0,0,0,3,0,664,1
5565,3.6,80,0,0,2,0,0,0,0,0,3,0,-664,0
5490,3.6,81,0,0,2,0,0,0,0,0,2,0,-1119,0
6609,3.6,66,2,2,0,0,0,0,0,0,4,0,1119,1
5596,3.4,73,0,0,2,0,0,0,0,0,4,0,-908,0
6504,3.6,87,2,1,0,0,0,0,0,0,5,0,908,1
6150,3.4,85,1,0,0,0,0,0,0,0,4,0,705,1
5445,3.6,76,0,0,1,0,0,0,0,0,2,0,-705,0
6660,2.6,47,3,4,0,0,0,0,0,0,4,0,1344,1
5316,3.2,63,0,0,3,0,0,0,0,0,5,0,-1344,0
6617,3.6,90,2,1,4,0,0,0,0,0,2,0,-977,0
7594,3.6,76,4,3,2,0,0,0,0,0,2,0,977,1
5172,3.2,57,0,0,2,0,0,0,0,0,2,0,-1530,0
6702,3.6,87,2,0,0,0,0,0,0,0,5,0,1530,1
5635,3.4,83,0,0,1,0,0,0,0,0,2,1,-643,0
6278,3.6,86,1,0,0,0,0,0,0,0,3,0,643,1
5232,3.2,69,0,0,1,0,0,0,0,0,5,0,-998,0
6230,3.6,88,1,0,0,0,0,0,0,0,3,0,998,1
5310,3.4,59,0,0,2,0,0,0,0,0,2,0,-1376,1
6686,3.6,81,2,2,0,0,0,0,0,0,4,0,1376,0
5481,3.2,72,0,0,1,0,0,0,0,0,4,1,-282,1
5763,3.2,66,1,1,0,0,0,0,0,0,2,0,282,0
5179,3.2,64,0,0,2,0,0,0,0,0,3,0,-1018,0
