Gold,Level,Minions,Kills,Assists,Deaths,Towers,Dragons,Heralds,Barons,Gold_diff,Win
47867,13.0,689,22,33,16,6,3,0,0,6463,1
41404,12.6,669,16,19,22,1,0,2,1,-6463,0
49708,13.2,739,22,31,21,5,2,1,1,4287,0
45421,12.4,709,21,25,22,3,1,1,0,-4287,1
50510,13.2,580,31,46,25,5,3,1,1,2893,1
47617,12.2,618,25,44,31,3,0,1,0,-2893,0
42853,12.4,661,21,32,23,2,2,0,0,-7056,0
49909,13.6,766,23,33,21,3,1,2,1,7056,1
51905,12.6,658,29,41,25,6,2,1,1,7207,1
44698,11.8,606,25,36,29,2,0,0,0,-7207,0
55241,13.6,639,36,41,22,11,3,2,1,11755,1
43486,12.6,552,22,28,36,0,0,0,0,-11755,0
55144,13.2,696,33,25,30,12,2,1,1,5484,1
49660,13.0,602,30,26,33,4,1,1,0,-5484,0
52927,13.6,736,30,31,22,4,1,1,1,6847,1
46080,12.6,608,22,30,30,4,2,1,0,-6847,0
44606,12.4,610,21,27,33,1,0,1,0,-3478,0
48084,12.8,606,33,40,21,6,3,1,0,3478,1
47926,12.4,641,27,31,27,3,0,0,0,-3906,0
51832,13.4,712,27,34,27,4,3,2,1,3906,1
56656,13.6,743,41,60,14,12,2,1,0,17969,1
38687,11.6,551,14,18,41,1,1,1,0,-17969,0
46806,12.6,618,29,45,29,2,2,1,0,-4870,0
51676,13.4,705,29,49,29,4,1,1,1,4870,1
47198,13.0,638,24,28,33,3,1,0,0,-1320,1
48518,12.8,702,33,30,24,4,2,2,0,1320,0
61151,14.0,813,37,33,17,12,3,2,1,18472,1
42679,12.4,595,17,28,37,2,0,0,0,-18472,0
46908,13.0,766,16,19,25,5,0,1,0,-6008,0
52916,14.2,856,25,39,16,7,3,1,1,6008,1
49221,13.6,757,20,20,17,5,3,0,1,4483,1
44738,13.2,737,17,20,20,4,1,2,0,-4483,0
48404,13.0,719,20,16,33,3,2,1,1,-4997,0
53401,13.8,753,33,36,20,6,2,1,0,4997,1
47000,13.6,710,28,22,23,3,0,2,0,2054,1
44946,12.8,680,23,34,28,2,3,0,0,-2054,0
55443,14.0,763,38,39,21,7,2,2,1,11033,1
44410,12.4,551,21,31,38,2,1,0,0,-11033,0
44492,12.4,674,19,29,39,1,0,0,0,-11642,0
56134,14.2,750,39,41,19,8,3,2,1,11642,1
49040,12.6,605,29,43,39,1,2,0,0,-6126,1
55166,12.8,661,39,49,29,9,1,2,1,6126,0
47223,12.8,663,18,25,31,2,1,0,1,-5312,0
52535,13.2,714,31,33,18,8,3,2,0,5312,1
50642,13.4,648,34,44,19,4,1,1,1,5956,1
44686,12.2,644,19,27,34,3,2,1,0,-5956,0
47384,12.8,702,20,34,25,5,0,2,0,-1682,0
49066,13.2,718,25,39,20,4,3,0,1,1682,1
47630,13.2,685,24,15,28,5,1,2,1,-1231,0
48861,13.4,714,28,35,24,5,2,0,0,1231,1
48026,13.6,696,25,25,17,5,2,0,1,1137,0
46889,12.6,762,17,28,25,4,1,2,0,-1137,1
47583,12.8,607,26,53,38,2,0,0,0,-12618,0
60201,14.2,790,38,36,26,12,4,2,1,12618,1
47583,12.8,607,26,53,38,2,0,0,0,-12618,0
60201,14.2,790,38,36,26,12,4,2,1,12618,1
42610,12.2,626,18,28,31,2,1,0,0,-9366,0
51976,13.0,666,31,31,18,9,2,2,0,9366,1
47964,13.2,689,27,35,16,4,1,1,0,292,1
47672,12.6,770,16,16,27,4,2,1,0,-292,0
50574,12.6,758,24,29,36,6,2,1,0,-3003,0
53577,13.8,701,36,42,24,4,1,1,1,3003,1
41436,12.2,724,13,16,27,1,2,1,0,-10089,0
51525,13.6,722,27,35,13,5,1,1,1,10089,1
41985,12.2,647,15,21,28,2,1,0,0,-11343,0
53328,13.6,784,28,37,15,5,3,2,1,11343,1
48580,13.2,645,25,34,20,4,1,2,1,2647,1
45933,12.2,699,20,28,25,3,2,0,0,-2647,0
47494,13.4,745,23,33,12,3,3,2,1,8109,1
39385,12.0,703,12,12,23,1,0,0,0,-8109,0
43850,13.0,696,19,23,17,2,3,1,0,1135,0
42715,12.0,636,17,22,19,4,0,1,0,-1135,1
43456,12.6,777,16,22,21,2,1,1,0,-3609,0
47065,13.0,769,21,19,16,4,2,1,0,3609,1
47273,12.2,632,26,26,34,6,1,1,0,-3343,0
50616,13.6,600,34,50,26,4,2,1,1,3343,1
38684,11.8,676,8,16,13,1,0,1,0,-8443,0
47127,12.0,713,13,19,8,13,3,1,1,8443,1
52215,12.8,677,31,43,24,9,2,2,0,8306,1
43909,12.4,561,24,39,31,1,1,0,0,-8306,0
49054,12.8,696,18,33,26,3,0,1,1,624,0
48430,12.8,773,26,32,18,3,4,1,0,-624,1
46684,13.0,731,24,27,28,3,1,1,0,-5600,0
52284,13.6,728,28,44,24,4,2,1,1,5600,1
47142,12.6,591,23,33,44,3,0,1,0,-12645,0
59787,13.8,730,44,54,23,10,3,1,1,12645,1
39315,11.8,712,11,9,31,1,1,0,0,-13627,0
52942,14.0,789,31,31,11,11,2,2,1,13627,1
47772,12.6,674,23,31,27,2,2,2,0,-2451,0
50223,13.0,711,27,44,23,4,1,0,1,2451,1
49584,13.6,752,21,27,20,5,0,2,1,2184,0
47400,12.8,767,20,23,21,4,3,0,0,-2184,1
41416,12.2,684,13,26,21,0,0,0,0,-9425,0
50841,13.6,819,21,26,13,7,3,2,1,9425,1
49226,12.6,684,25,33,34,3,1,1,0,-3671,1
52897,13.2,758,34,32,25,4,2,1,1,3671,0
52109,13.4,614,34,45,28,3,2,0,1,2943,1
49166,12.4,629,28,33,34,3,1,1,0,-2943,0
49769,13.2,794,24,23,24,6,1,2,0,1680,0
48089,13.4,712,24,32,24,3,2,0,1,-1680,1
43789,12.2,663,16,31,19,2,1,1,0,-3942,0
47731,13.6,760,19,28,16,4,2,1,1,3942,1
46316,12.8,685,20,36,19,4,1,1,0,922,0
45394,12.6,708,19,23,20,3,2,1,1,-922,1
49316,12.8,685,26,25,33,2,0,1,0,-5607,0
54923,14.2,763,33,47,26,5,3,1,1,5607,1
48477,13.4,819,20,30,23,2,1,2,0,-1540,1
50017,13.6,738,23,28,20,5,3,0,1,1540,0
53436,13.0,695,30,32,32,4,2,1,0,1573,1
51863,13.4,642,32,44,30,3,1,1,1,-1573,0
45906,12.4,664,25,30,27,2,1,0,0,-3581,1
49487,12.8,707,27,31,25,4,2,2,0,3581,0
45359,12.4,743,20,35,13,3,2,0,0,-214,1
45573,12.8,749,13,8,20,5,1,2,1,214,0
43855,12.2,765,12,14,18,3,1,2,0,-1281,0
45136,13.2,668,18,35,12,3,2,0,1,1281,1
45703,13.0,706,21,39,16,2,1,1,0,-1075,0
46778,12.2,762,16,24,21,2,2,1,0,1075,1
51118,13.8,805,23,25,8,6,3,0,1,13086,1
38032,12.2,646,8,10,23,1,0,2,0,-13086,0
49392,12.6,668,27,42,27,4,2,2,0,-209,1
49601,13.0,737,27,31,27,3,1,0,0,209,0
51304,13.4,630,27,46,26,4,2,1,1,2826,1
48478,12.8,695,26,36,27,4,1,1,0,-2826,0
45826,12.6,790,15,16,18,4,1,2,0,-905,0
46731,13.2,822,18,16,15,4,2,0,0,905,1
51839,13.4,789,29,27,20,7,2,1,0,3861,0
47978,13.4,711,20,19,29,3,2,1,1,-3861,1
46714,12.4,649,20,25,33,2,0,0,0,-5770,0
52484,13.0,600,33,57,20,8,3,2,1,5770,1
43412,12.2,706,16,20,31,2,0,1,0,-11549,0
54961,14.0,753,31,52,16,8,4,1,1,11549,1
54498,13.6,652,28,52,18,9,3,2,1,9583,1
44915,12.4,685,18,24,28,3,0,0,0,-9583,0
55512,14.2,715,36,46,23,8,2,2,1,8419,1
47093,12.8,754,23,22,36,3,1,0,0,-8419,0
51042,13.0,687,31,29,33,4,2,2,0,-3135,0
54177,14.2,750,33,41,31,4,1,0,1,3135,1
46637,12.6,809,17,18,16,5,1,0,0,730,0
45907,13.6,748,16,28,17,2,2,2,1,-730,1
53544,13.8,815,26,26,15,5,2,2,1,9617,1
43927,12.2,735,15,18,26,3,1,0,0,-9617,0
45356,12.4,682,16,24,13,5,1,2,0,2774,1
42582,12.8,697,13,15,16,2,2,0,1,-2774,0
43026,12.4,642,14,16,24,1,1,0,1,-5329,0
48355,13.0,727,24,33,14,3,2,2,0,5329,1
43554,12.2,685,19,28,23,1,1,1,0,-6744,0
50298,13.4,737,23,44,19,5,2,1,1,6744,1
47893,12.8,735,25,38,26,4,1,1,0,1552,1
46341,13.6,606,26,34,25,1,2,1,1,-1552,0
49153,13.8,724,24,27,21,3,2,0,1,1771,1
47382,12.6,776,21,26,24,4,2,2,0,-1771,0
49764,12.8,567,34,62,27,4,2,1,0,-824,1
50588,12.4,616,27,51,34,4,1,1,1,824,0
50127,13.2,742,22,27,33,3,2,1,0,-2743,1
52870,13.8,749,33,39,22,8,1,1,1,2743,0
54763,13.8,724,34,28,30,9,1,1,1,7226,1
47537,13.0,680,30,36,34,2,1,1,0,-7226,0
54697,14.4,813,33,45,12,7,2,1,0,15006,1
39691,12.2,622,12,17,33,0,1,1,0,-15006,0
53852,13.6,786,25,35,17,10,3,1,1,10268,1
43584,12.6,683,17,21,25,2,0,1,0,-10268,0
36334,12.0,654,9,8,32,0,0,0,0,-14576,0
50910,14.0,777,32,28,9,5,3,2,1,14576,1
41684,12.8,764,16,13,17,2,1,1,0,-4413,1
46097,13.4,724,17,31,16,3,3,1,1,4413,0
39210,12.0,651,9,16,38,0,0,1,0,-20824,0
60034,14.2,749,38,60,9,11,3,1,1,20824,1
50977,13.0,743,31,47,24,4,3,2,0,5481,1
45496,12.8,678,24,33,31,2,0,0,0,-5481,0
47933,13.0,734,19,29,20,4,3,1,0,3398,1
44535,12.4,685,20,27,19,4,0,1,0,-3398,0
51168,13.2,741,29,43,19,5,3,1,0,4571,1
46597,13.0,679,19,34,29,2,0,0,1,-4571,0
50696,13.6,769,28,27,13,8,3,1,1,8855,1
41841,12.2,671,13,18,28,0,0,1,0,-8855,0
45786,12.8,671,18,29,30,1,0,1,1,-985,0
46771,13.2,686,30,38,18,4,3,1,0,985,1
46986,12.6,652,26,43,25,4,2,0,0,-1594,1
48580,12.6,699,25,30,26,3,1,2,0,1594,0
55879,13.4,718,34,54,15,7,2,1,1,12441,1
43438,12.2,661,15,23,34,3,1,1,0,-12441,0
44300,12.4,653,17,20,34,2,0,1,0,-8616,0
52916,13.6,724,34,35,17,6,3,1,0,8616,1
53433,13.2,754,33,31,37,4,1,1,0,2270,0
51163,13.8,672,37,40,33,4,1,1,0,-2270,1
44568,12.2,619,21,43,25,3,0,0,0,-3678,0
48246,13.0,653,25,25,21,3,2,1,1,3678,1
49993,13.0,665,27,36,21,5,1,1,0,3929,1
46064,12.8,703,21,23,27,3,2,1,0,-3929,0
54837,13.6,635,35,63,23,10,1,1,1,8063,1
46774,12.2,685,23,18,35,3,1,1,0,-8063,0
48775,13.2,657,25,37,17,5,2,2,1,4298,1
44477,12.2,738,17,14,25,3,1,0,0,-4298,0
46476,12.6,722,18,28,17,4,3,0,1,-1255,0
47731,12.8,737,17,38,18,5,1,2,0,1255,1
40637,12.2,666,10,13,21,2,0,1,0,-11741,0
52378,13.8,884,21,14,10,9,4,1,1,11741,1
46506,12.8,668,20,32,26,4,1,2,0,-189,0
46695,13.0,668,26,46,20,3,2,0,0,189,1
44845,12.4,686,20,22,19,2,2,1,0,-2041,0
46886,13.0,802,19,17,20,3,1,1,0,2041,1
50455,13.0,664,24,35,23,6,2,0,1,4954,1
45501,12.2,667,23,31,24,5,1,2,0,-4954,0
48576,13.6,706,19,33,20,4,2,1,1,-296,1
48872,13.2,791,20,26,19,4,2,1,0,296,0
51609,13.0,716,24,46,15,7,2,2,1,8404,1
43205,12.0,739,15,17,24,2,1,0,0,-8404,0
45960,12.4,708,19,31,23,3,1,2,0,-4258,0
50218,13.2,747,23,37,19,5,3,0,1,4258,1
49351,13.0,814,20,26,24,4,1,2,0,839,1
48512,13.6,769,24,23,20,4,2,0,0,-839,0
55510,13.8,816,37,41,19,5,2,2,0,14293,1
41217,12.0,623,19,27,37,1,1,0,0,-14293,0
48064,13.2,602,29,36,29,1,1,0,1,-1153,0
49217,13.0,694,29,38,29,3,2,2,0,1153,1
46301,12.6,757,20,40,14,3,3,0,0,5213,1
41088,11.8,631,14,19,20,2,0,2,0,-5213,0
41740,12.4,669,20,26,18,1,2,0,0,-8893,0
50633,13.4,781,18,19,20,6,1,2,1,8893,1
46961,12.6,694,27,29,26,3,1,1,0,-2508,0
49469,13.4,657,26,31,27,6,1,1,1,2508,1
46961,12.6,694,27,29,26,3,1,1,0,-2508,0
49469,13.4,657,26,31,27,6,1,1,1,2508,1
51535,14.2,779,33,40,8,8,3,1,1,10891,1
40644,12.6,695,8,9,33,2,0,1,0,-10891,0
40704,12.0,680,11,14,19,3,0,1,0,-5128,0
45832,13.2,698,19,23,11,5,3,1,0,5128,1
50671,13.0,682,31,33,15,7,2,2,0,6498,1
44173,12.6,591,15,17,31,2,0,0,1,-6498,0
47225,13.0,659,24,18,26,3,1,2,0,-3144,1
50369,13.2,725,26,27,24,5,2,0,0,3144,0
46440,12.4,706,18,17,27,7,1,1,0,923,0
45517,13.0,660,27,22,18,2,2,1,0,-923,1
44452,12.4,643,21,31,13,4,3,1,0,2844,1
41608,12.2,703,13,15,21,3,1,1,0,-2844,0
39081,12.0,649,16,14,16,0,0,0,0,-7646,0
46727,13.2,776,16,10,16,6,2,1,1,7646,1
45375,12.6,738,18,20,17,4,1,1,0,-105,0
