Gold,Level,Minions,Kills,Assists,Deaths,Towers,Dragons,Heralds,Barons,Gold_diff,Win
72769,16.6,1015,32,50,42,9,2,1,2,-1861,0
74630,17.2,999,42,68,32,9,3,1,1,1861,1
73047,16.6,945,44,79,44,4,2,1,0,-5060,0
78107,17.4,1027,44,87,44,9,3,1,2,5060,1
66974,16.2,1057,28,35,28,4,4,1,0,-2505,0
69479,16.4,959,28,41,28,7,1,1,2,2505,1
70734,16.6,1134,28,37,36,6,2,1,1,-1045,0
71779,17.0,1108,36,42,28,4,4,1,0,1045,1
74195,17.0,968,38,70,36,4,2,1,0,-919,0
75114,17.2,1011,36,64,38,9,3,1,2,919,1
71378,16.6,1069,24,28,36,8,1,2,1,-4474,0
75852,17.0,1207,36,49,24,10,4,0,1,4474,1
75422,16.8,1120,43,43,35,12,3,1,0,831,0
74591,16.8,1085,35,35,43,6,3,1,2,-831,1
68150,16.4,1083,34,25,32,9,1,1,0,-4436,1
72586,16.8,1030,32,53,34,6,4,1,2,4436,0
74917,16.6,984,39,59,39,8,4,0,1,2336,1
72581,16.4,970,39,63,39,9,1,2,1,-2336,0
77637,17.2,1163,36,54,34,10,2,2,1,3743,1
73894,16.8,1059,34,43,36,5,3,0,1,-3743,0
78864,17.6,956,49,54,41,7,3,2,1,4406,1
74458,16.6,1048,41,40,49,6,2,0,1,-4406,0
64065,16.2,1055,20,28,21,5,3,1,0,-5256,1
69321,16.4,982,21,39,20,8,3,1,2,5256,0
71159,16.6,879,45,57,44,6,2,1,0,-3791,0
74950,16.8,960,44,75,45,8,3,1,1,3791,1
74085,16.4,950,39,46,50,11,3,2,1,-4047,0
78132,17.4,934,50,72,39,5,3,0,2,4047,1
66936,15.6,946,27,49,23,10,3,1,1,-2959,0
69895,16.6,1014,23,47,27,5,2,1,2,2959,1
