Gold,Level,Minions,Kills,Assists,Deaths,Towers,Dragons,Heralds,Barons,Gold_diff,Win
59824,15.0,874,25,37,33,8,2,1,1,-2569,0
62393,15.4,865,33,47,25,7,3,1,1,2569,1
68129,16.2,921,42,42,33,7,3,1,1,8063,1
60066,15.0,745,33,47,42,4,2,1,0,-8063,0
64702,15.6,819,42,74,36,3,2,1,0,-903,0
65605,15.6,885,36,63,42,4,2,1,2,903,1
62114,15.4,787,35,52,38,7,3,0,0,2090,1
60024,14.6,884,38,36,35,4,2,2,0,-2090,0
61139,15.4,961,23,32,35,5,0,1,0,-7533,0
68672,16.6,1010,35,57,23,10,5,1,2,7533,1
62613,16.0,914,28,25,47,3,2,1,1,-9053,0
71666,16.6,937,47,52,28,13,3,1,1,9053,1
65355,16.4,903,42,37,32,9,1,2,1,4233,1
61122,16.0,881,32,50,42,3,3,0,0,-4233,0
59612,14.8,875,26,44,32,5,0,2,0,-5639,0
65251,15.8,903,32,58,26,9,4,0,2,5639,1
63279,15.4,867,34,28,39,7,2,2,1,466,0
62813,15.6,874,39,49,34,8,3,0,0,-466,1
60996,15.0,803,34,42,25,8,2,0,1,203,0
60793,15.0,932,25,36,34,7,2,2,0,-203,1
58754,15.0,925,23,33,37,2,2,1,0,-6858,0
65612,15.6,864,37,51,23,10,2,1,1,6858,1
58643,15.4,896,27,32,22,4,3,1,0,1407,0
57236,14.6,826,22,30,27,4,1,1,1,-1407,1
57920,15.0,997,21,28,28,2,2,1,1,-3003,0
60923,15.4,977,28,32,21,4,3,1,0,3003,1
64902,15.6,962,29,42,26,8,1,2,1,4743,0
60159,15.2,959,26,39,29,4,3,0,0,-4743,1
66577,15.8,922,34,57,36,5,2,1,1,1087,1
65490,15.0,949,36,33,34,8,2,1,1,-1087,0
60374,14.8,960,27,30,35,6,1,2,0,-2875,0
63249,15.4,857,35,52,27,7,4,0,1,2875,1
61303,15.0,841,28,49,29,4,2,1,0,-3778,0
65081,16.0,945,29,57,28,6,2,1,2,3778,1
63941,15.4,851,33,52,37,7,3,2,1,-3793,1
67734,16.0,968,37,47,33,6,2,0,0,3793,0
59956,14.8,934,22,25,31,8,1,2,0,-5713,0
65669,16.2,1041,31,41,22,8,3,0,1,5713,1
65797,15.4,979,38,37,31,8,3,1,0,128,0
65669,16.2,960,31,32,38,3,2,1,2,-128,1
57335,14.8,828,22,28,34,1,2,0,1,-8560,0
65895,15.6,904,34,41,22,9,3,2,1,8560,1
66808,16.4,948,39,54,34,6,2,1,1,5889,1
60919,15.6,779,34,47,39,4,2,1,1,-5889,0
54662,15.4,946,26,19,26,3,1,1,0,-5950,1
60612,15.8,920,26,48,26,5,4,1,1,5950,0
67138,15.8,959,37,63,25,10,3,1,1,4894,1
62244,15.2,883,25,45,37,4,1,0,1,-4894,0
61530,14.8,824,33,52,30,9,2,0,0,-2954,1
64484,15.4,931,30,35,33,7,2,2,1,2954,0
63331,15.4,856,32,45,30,6,3,1,1,1952,1
61379,15.2,878,30,41,32,9,2,1,0,-1952,0
63133,15.2,872,30,44,34,6,3,0,1,390,1
62743,15.2,856,34,53,30,7,1,2,1,-390,0
67979,16.2,1013,33,50,33,5,1,2,1,2316,1
65663,16.0,929,33,40,33,5,3,0,1,-2316,0
61422,15.6,764,34,45,40,2,1,0,2,-4708,0
66130,16.0,931,40,62,34,5,3,2,0,4708,1
57204,15.0,873,16,27,23,5,1,1,1,-2755,0
59959,15.6,898,23,33,16,7,3,1,1,2755,1
61334,15.0,843,32,33,21,8,2,2,1,3414,1
57920,15.2,815,21,31,32,3,1,0,1,-3414,0
63129,15.6,823,37,39,37,4,2,2,0,-3216,1
66345,15.8,910,37,38,37,6,2,0,1,3216,0
61186,15.2,840,27,37,41,8,1,1,1,-2825,0
64011,15.6,862,41,45,27,5,3,1,0,2825,1
59225,14.6,885,28,35,29,6,2,1,0,-3219,0
62444,15.2,888,29,39,28,5,3,1,1,3219,1
61565,14.8,839,29,37,44,5,1,0,0,-7564,0
69129,15.8,853,44,42,29,9,3,1,1,7564,1
64850,15.8,886,31,52,25,14,2,1,1,4113,1
60737,15.8,913,25,52,31,2,2,1,1,-4113,0
54423,15.0,930,15,14,16,5,2,1,0,-4005,1
58428,15.0,861,16,26,15,4,3,1,2,4005,0
59122,14.8,755,37,43,36,4,2,1,0,-5471,0
64593,15.4,850,36,62,37,5,2,1,1,5471,1
63526,15.2,812,33,36,41,6,2,2,1,-2450,0
65976,15.6,833,41,58,33,5,3,0,1,2450,1
59606,15.4,869,27,31,37,8,2,0,0,-6201,0
65807,15.8,908,37,55,27,5,2,2,1,6201,1
62224,15.6,918,26,33,21,6,1,1,1,8076,1
54148,14.8,937,21,26,26,3,1,0,0,-8076,0
63645,15.2,900,35,39,36,7,2,1,1,-3614,0
67259,16.0,872,36,42,35,9,2,1,1,3614,1
62063,15.2,883,27,49,17,10,3,1,1,6518,0
55545,14.8,885,17,31,27,2,1,1,1,-6518,1
64845,15.2,733,38,35,36,11,3,1,1,4078,1
60767,15.0,853,36,49,38,2,1,1,0,-4078,0
64483,15.8,963,27,36,30,4,2,1,2,1389,0
63094,15.4,985,30,40,27,4,3,1,0,-1389,1
64632,15.6,884,36,62,32,6,2,0,1,-3026,0
67658,16.0,988,32,44,36,6,2,2,1,3026,1
60140,15.2,1047,21,29,15,5,3,2,0,285,1
59855,15.4,1039,15,15,21,9,2,0,1,-285,0
59807,14.4,843,24,40,42,3,0,0,0,-9230,0
69037,15.8,933,42,48,24,12,4,2,2,9230,1
