Gold,Level,Minions,Kills,Assists,Deaths,Towers,Dragons,Heralds,Barons,Gold_diff,Win
52709,13.8,724,27,40,18,7,3,0,0,7526,1
45183,12.8,709,18,25,27,2,0,2,1,-7526,0
53099,13.8,777,23,35,24,8,2,1,1,2957,0
50142,13.6,768,24,28,23,3,2,1,0,-2957,1
46493,12.8,702,23,36,28,2,2,0,0,-8823,0
55316,14.4,808,28,47,23,6,1,2,1,8823,1
56802,13.6,704,33,48,29,8,3,1,1,7197,1
49605,12.8,662,29,39,33,2,0,0,0,-7197,0
56046,14.4,767,33,33,27,4,2,1,1,4554,1
51492,13.4,649,27,37,33,4,2,1,0,-4554,0
51631,13.2,709,29,32,28,3,0,0,0,-5463,0
57094,14.0,797,28,34,29,7,3,2,1,5463,1
51684,13.4,674,32,50,31,2,2,1,0,-3314,0
54998,14.4,757,31,53,32,4,1,1,1,3314,1
51984,13.8,683,28,35,35,4,2,0,0,535,1
51449,12.8,736,35,33,28,4,2,2,0,-535,0
50602,13.8,841,17,19,27,5,0,1,0,-5531,0
56133,14.6,907,27,44,17,8,4,1,1,5531,1
53007,14.6,833,21,22,18,5,3,0,1,5242,1
47765,13.8,799,18,20,21,4,1,2,0,-5242,0
51710,13.8,756,22,19,38,3,2,1,1,-6842,0
58552,14.4,802,38,43,22,8,2,1,0,6842,1
52826,14.8,779,31,24,24,4,0,2,1,4582,1
48244,13.6,734,24,34,31,2,3,0,0,-4582,0
50773,13.6,724,24,42,43,1,0,0,0,-9464,0
60237,14.6,787,43,42,24,11,3,2,1,9464,1
55637,13.6,668,35,56,40,2,2,0,0,-1939,1
57576,13.4,692,40,50,35,9,1,2,1,1939,0
51019,13.6,718,19,28,34,2,1,0,1,-5732,0
56751,13.8,780,34,39,19,8,3,2,0,5732,1
56994,14.2,680,41,56,24,7,1,1,1,7567,1
49427,13.0,672,24,29,41,3,2,1,0,-7567,0
51424,13.6,774,22,38,26,5,0,2,0,-993,0
52417,14.0,782,26,40,22,4,3,0,1,993,1
51973,13.8,734,27,21,30,5,1,2,1,29,0
51944,13.8,759,30,38,27,6,3,0,0,-29,1
50631,14.0,720,27,27,21,5,2,0,1,-1754,0
52385,13.6,822,21,32,27,5,1,2,0,1754,1
47490,13.2,671,21,33,36,3,1,0,0,-11217,0
58707,14.0,722,36,38,21,11,2,2,1,11217,1
54161,14.4,704,33,51,17,4,1,1,1,4197,1
49964,13.0,792,17,17,33,4,2,1,0,-4197,0
53055,13.2,808,24,29,41,6,2,1,0,-6415,0
59470,14.6,757,41,50,24,7,1,1,1,6415,1
45303,13.2,768,15,19,31,1,2,1,0,-11804,0
57107,14.6,784,31,39,15,7,1,1,1,11804,1
46649,13.4,687,18,26,33,2,1,0,0,-13203,0
59852,14.4,839,33,45,18,12,3,2,1,13203,1
53223,14.0,693,27,39,21,7,1,2,1,4210,1
49013,12.6,743,21,30,27,3,2,0,0,-4210,0
48192,13.4,735,23,29,21,2,3,1,0,414,0
47778,12.6,691,21,27,23,4,0,1,0,-414,1
47040,13.4,821,19,26,26,2,2,1,0,-4920,0
51960,14.0,814,26,29,19,4,2,1,0,4920,1
54385,13.4,688,31,40,37,9,1,1,0,431,0
53954,13.8,625,37,53,31,4,2,1,1,-431,1
43175,13.0,770,8,16,13,1,0,1,0,-5802,0
48977,12.6,740,13,19,8,13,4,1,1,5802,1
51665,13.4,754,18,33,27,3,0,1,1,-723,0
52388,13.6,839,27,32,18,4,4,1,0,723,1
50734,14.0,781,27,35,32,3,1,1,0,-6080,0
56814,14.6,777,32,50,27,4,2,1,1,6080,1
53670,13.4,730,26,37,32,6,2,2,0,-1656,0
55326,14.0,761,32,57,26,4,2,0,1,1656,1
52976,13.6,817,22,28,22,5,0,2,1,1892,0
51084,13.6,830,22,27,22,4,3,0,0,-1892,1
43994,12.8,733,13,26,22,0,0,0,0,-10399,0
54393,13.6,868,22,26,13,8,3,2,1,10399,1
53778,13.4,755,28,41,35,3,1,1,0,-4280,1
58058,14.0,826,35,33,28,6,2,1,1,4280,0
52783,13.4,821,26,28,29,6,1,2,0,-1127,0
53910,14.2,765,29,40,26,6,3,0,1,1127,1
49509,13.0,711,21,38,22,2,1,1,0,-2046,0
51555,14.2,809,22,37,21,4,2,1,1,2046,1
49054,13.0,709,22,41,28,4,1,1,0,-4264,0
53318,13.8,757,28,52,22,4,2,1,1,4264,1
54992,14.4,877,26,46,23,3,1,2,0,2517,1
52475,14.2,774,23,28,26,6,3,0,1,-2517,0
57146,14.0,796,30,32,32,4,2,1,0,2336,1
54810,14.0,711,32,44,30,3,1,1,1,-2336,0
51958,13.2,726,28,33,27,4,1,0,0,262,1
51696,13.4,751,27,31,28,4,2,2,0,-262,0
49897,13.0,805,23,40,13,4,2,0,0,1745,1
48152,13.2,806,13,8,23,5,2,2,1,-1745,0
48139,13.4,756,21,39,18,2,1,1,0,-4454,0
52593,13.6,840,18,27,21,2,3,1,1,4454,1
